summary,latitude,longitude,year,month,day,hour,minute,second
count,88996090.00,88996090.00,88996090.00,88996090.00,88996090.00,88996090.00,88996090.00,88996090.00
mean,24.84,27.69,2022.00,6.52,15.77,11.54,29.54,29.34
stddev,26.50,87.64,0.00,3.37,8.85,6.92,17.31,17.31
min,-90.00,-180.00,2021.00,1.00,1.00,0.00,0.00,0.00
max,90.00,180.00,2022.00,12.00,31.00,23.00,59.00,59.00
