summary,mmsi,imo,nav_status_code,vessel_type_code,flag_code,sog
count,88996526,49396979,88996526,88996526,87373801,88996526
mean,3.9557185937097013E8,1.4585489263007926E7,5.4672777114917945,62.17126814590493,395.20465823616854,3.5833767893369504
stddev,1.3375405787626652E8,6.717527475649801E7,6.600339462843639,20.75899491321837,133.48844301584683,5.3688225276747525
min,0,1,0,0,201,0.0
max,1073722367,1073741823,16,255,775,102.1
