nav_status,unique_mmsi,unique_imo
Moored,23229,22420
Restricted Manoeuvrability,4955,4925
Aground,780,779
Not Defined,5666,5690
Not Under Command,15136,14858
Engaged In Fishing,407,412
Underway Sailing,11016,10921
Unknown,9963,9949
At Anchor,23770,22739
Under Way Using Engine,25702,24735
