summary,latitude,longitude,year,month,day,hour,minute,second
count,1696875705.00,1696875705.00,1696875705.00,1696875705.00,1696875705.00,1696875705.00,1696875705.00,1696875705.00
mean,6.00,49.59,2022.00,6.52,15.79,11.62,29.54,29.25
stddev,25.57,87.13,0.00,3.41,8.87,6.94,17.31,17.39
min,-90.00,-180.00,2022.00,1.00,1.00,0.00,0.00,0.00
max,90.00,180.00,2022.00,12.00,31.00,23.00,59.00,59.00
