summary,mmsi,imo,nav_status_code,vessel_type_code,flag_code,sog
count,1696875705.00,1696875705.00,1696875705.00,1696875705.00,1674034613.00,1696875705.00
mean,455653786.43,9514841.35,1.48,72.02,455.32,7.26
stddev,128952187.43,440266.44,3.13,11.24,129.12,6.22
min,0.00,1000215.00,0.00,0.00,205.00,0.00
max,777777772.00,9999761.00,16.00,255.00,750.00,102.10
