mmsi,Port,dt_pos_utc,fc_vessel,sc_vessel,vessel_type,ns_vessel,draught,position,latitude,longitude,masuk_pelabuhan,keluar_pelabuhan,masuk_indo,keluar_indo
525015473,Ujung Pandang,2022-10-22 15:15:21,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.7,in port,-5.11726667,119.37597,-,keluar,-,-
525015473,,2022-10-22 15:26:03,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.7,out port,-5.116905,119.34817167,-,keluar,-,-
525015473,,2022-10-26 23:11:54,Indonesia,Indonesia,Cargo,Under Way Using Engine,4.9,out port,-5.12544,119.35908667,masuk,-,-,-
525015473,Ujung Pandang,2022-10-26 23:22:35,Indonesia,Indonesia,Cargo,Under Way Using Engine,4.9,in port,-5.13033667,119.37209167,masuk,-,-,-
525015473,Ujung Pandang,2022-10-28 11:25:47,Indonesia,Indonesia,Cargo,At Anchor,4.9,in port,-5.13096167,119.37258,-,keluar,-,-
525015473,,2022-10-28 12:16:30,Indonesia,Indonesia,Cargo,At Anchor,4.9,out port,-5.09476667,119.41561167,-,keluar,-,-
525015473,,2022-11-02 05:19:34,Indonesia,Indonesia,Cargo,Under Way Using Engine,4.6,out port,-5.12726833,119.36351667,masuk,-,-,-
525015473,Ujung Pandang,2022-11-02 05:29:35,Indonesia,Indonesia,Cargo,Under Way Using Engine,4.6,in port,-5.12811167,119.37492667,masuk,-,-,-
525015473,Ujung Pandang,2022-11-04 05:51:46,Indonesia,Indonesia,Cargo,At Anchor,4.6,in port,-5.12742333,119.377145,-,keluar,-,-
525015473,,2022-11-04 06:33:36,Indonesia,Indonesia,Cargo,Moored,4.6,out port,-5.09614333,119.41547667,-,keluar,-,-
525015473,,2022-11-04 15:09:36,Indonesia,Indonesia,Cargo,Moored,4.6,out port,-5.09608167,119.41557,masuk,-,-,-
525015473,Ujung Pandang,2022-11-04 16:32:17,Indonesia,Indonesia,Cargo,Underway Sailing,5.7,in port,-5.10776167,119.40937833,masuk,-,-,-
525015473,Ujung Pandang,2022-11-04 16:42:37,Indonesia,Indonesia,Cargo,Underway Sailing,5.7,in port,-5.11822167,119.39658667,-,keluar,-,-
525015473,,2022-11-04 16:52:55,Indonesia,Indonesia,Cargo,Underway Sailing,5.7,out port,-5.11628,119.37163667,-,keluar,-,-
525015473,,2022-11-08 04:58:27,Indonesia,Indonesia,Cargo,Underway Sailing,4.4,out port,-4.64421,117.96815333,masuk,-,-,-
525015473,Ujung Pandang,2022-11-19 05:47:06,Indonesia,Indonesia,Cargo,Underway Sailing,5.5,in port,-5.10410167,119.41138333,masuk,-,-,-
525015473,Ujung Pandang,2022-11-19 05:57:14,Indonesia,Indonesia,Cargo,Underway Sailing,5.5,in port,-5.118075,119.39576667,-,keluar,-,-
525015473,,2022-11-19 06:07:15,Indonesia,Indonesia,Cargo,Underway Sailing,5.5,out port,-5.11718167,119.37059333,-,keluar,-,-
525015473,,2022-11-22 22:24:04,Indonesia,Indonesia,Cargo,Underway Sailing,4.1,out port,-5.12890833,119.36795833,masuk,-,-,-
525015473,Ujung Pandang,2022-11-22 22:34:05,Indonesia,Indonesia,Cargo,Underway Sailing,4.1,in port,-5.13060167,119.37171333,masuk,-,-,-
525015473,Ujung Pandang,2022-11-23 05:56:06,Indonesia,Indonesia,Cargo,Under Way Using Engine,4.1,in port,-5.117665,119.40377833,-,keluar,-,-
525015473,,2022-11-23 06:06:07,Indonesia,Indonesia,Cargo,Under Way Using Engine,4.1,out port,-5.10369667,119.41038667,-,keluar,-,-
525015473,,2022-11-23 11:58:42,Indonesia,Indonesia,Cargo,Moored,4.1,out port,-5.09682333,119.415535,masuk,-,-,-
525015473,Ujung Pandang,2022-11-23 12:37:28,Indonesia,Indonesia,Cargo,Moored,4.1,in port,-5.12730833,119.37792333,masuk,-,-,-
525015473,Ujung Pandang,2022-11-26 02:30:57,Indonesia,Indonesia,Cargo,At Anchor,4.1,in port,-5.12596333,119.37652,-,keluar,-,-
525015473,,2022-11-26 03:42:39,Indonesia,Indonesia,Cargo,At Anchor,4.1,out port,-5.095035,119.415525,-,keluar,-,-
525015473,,2022-11-26 11:39:14,Indonesia,Indonesia,Cargo,Underway Sailing,5.2,out port,-5.09673,119.41272333,masuk,-,-,-
525015473,Ujung Pandang,2022-11-26 11:47:06,Indonesia,Indonesia,Cargo,Underway Sailing,5.2,in port,-5.11378333,119.407205,masuk,-,-,-
525015473,Ujung Pandang,2022-11-26 11:57:06,Indonesia,Indonesia,Cargo,Underway Sailing,5.2,in port,-5.11805667,119.38716333,-,keluar,-,-
525015473,,2022-11-26 12:07:07,Indonesia,Indonesia,Cargo,Underway Sailing,5.2,out port,-5.11742167,119.36202,-,keluar,-,-
525015473,,2022-11-30 11:42:45,Indonesia,Indonesia,Cargo,Under Way Using Engine,4.0,out port,-5.12016333,119.35722333,masuk,-,-,-
525015473,Ujung Pandang,2022-11-30 11:52:54,Indonesia,Indonesia,Cargo,Under Way Using Engine,4.0,in port,-5.12260167,119.36830667,masuk,-,-,-
525015473,Ujung Pandang,2022-12-02 11:36:45,Indonesia,Indonesia,Cargo,Restricted Manoeuvrability,4.0,in port,-5.102875,119.41257833,-,keluar,-,-
525015473,,2022-12-02 11:46:54,Indonesia,Indonesia,Cargo,Restricted Manoeuvrability,4.0,out port,-5.09726167,119.41478167,-,keluar,-,-
525015473,,2022-12-02 22:37:17,Indonesia,Indonesia,Cargo,Underway Sailing,5.2,out port,-5.09875833,119.412015,masuk,-,-,-
525015473,Ujung Pandang,2022-12-02 22:47:27,Indonesia,Indonesia,Cargo,Underway Sailing,5.2,in port,-5.11773667,119.40361667,masuk,-,-,-
525015473,Ujung Pandang,2022-12-02 22:57:36,Indonesia,Indonesia,Cargo,Underway Sailing,5.2,in port,-5.11625,119.37957,-,keluar,-,-
525015473,,2022-12-02 23:07:37,Indonesia,Indonesia,Cargo,Underway Sailing,5.2,out port,-5.11588333,119.35353833,-,keluar,-,-
525015473,,2022-12-06 21:23:55,Indonesia,Indonesia,Cargo,Underway Sailing,3.9,out port,-5.12382833,119.363465,masuk,-,-,-
525015473,Ujung Pandang,2022-12-06 21:44:16,Indonesia,Indonesia,Cargo,At Anchor,3.9,in port,-5.125005,119.371735,masuk,-,-,-
525015473,Ujung Pandang,2022-12-09 08:22:52,Indonesia,Indonesia,Cargo,Restricted Manoeuvrability,3.9,in port,-5.10718167,119.409455,-,keluar,-,-
525015473,,2022-12-09 08:33:00,Indonesia,Indonesia,Cargo,Restricted Manoeuvrability,3.9,out port,-5.09639167,119.41441667,-,keluar,-,-
525015473,,2022-12-09 16:06:05,Indonesia,Indonesia,Cargo,Moored,5.3,out port,-5.09462167,119.41495833,masuk,-,-,-
525015473,Ujung Pandang,2022-12-09 16:40:58,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.3,in port,-5.117965,119.37674,masuk,keluar,-,-
525015473,,2022-12-09 16:50:57,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.3,out port,-5.11746,119.35072333,-,keluar,-,-
525015473,,2022-12-13 08:13:47,Indonesia,Indonesia,Cargo,Underway Sailing,3.8,out port,-5.120015,119.36004833,masuk,-,-,-
525015473,Ujung Pandang,2022-12-13 08:23:46,Indonesia,Indonesia,Cargo,Underway Sailing,3.8,in port,-5.12239667,119.370545,masuk,-,-,-
525015473,Ujung Pandang,2022-12-16 08:12:48,Indonesia,Indonesia,Cargo,Restricted Manoeuvrability,3.8,in port,-5.10840333,119.40781667,-,keluar,-,-
525015473,,2022-12-16 08:22:49,Indonesia,Indonesia,Cargo,Restricted Manoeuvrability,3.8,out port,-5.100055,119.41317167,-,keluar,-,-
525015473,,2022-12-16 22:47:30,Indonesia,Indonesia,Cargo,Underway Sailing,5.6,out port,-5.10668667,119.41007667,masuk,-,-,-
525015473,Ujung Pandang,2022-12-16 22:57:39,Indonesia,Indonesia,Cargo,Underway Sailing,5.6,in port,-5.11562833,119.40623333,masuk,-,-,-
525015473,Ujung Pandang,2022-12-16 23:07:40,Indonesia,Indonesia,Cargo,Underway Sailing,5.6,in port,-5.11707,119.39352833,-,keluar,-,-
525015473,,2022-12-16 23:17:48,Indonesia,Indonesia,Cargo,Underway Sailing,5.6,out port,-5.11697167,119.36880333,-,keluar,-,-
