mmsi,Port,dt_pos_utc,fc_vessel,sc_vessel,vessel_type,ns_vessel,draught,position,latitude,longitude,masuk_pelabuhan,keluar_pelabuhan,masuk_indo,keluar_indo
525001121,Tanjung Gerem,2022-06-25 14:25:09,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.94166667,105.99166667,masuk,keluar,-,-
525001121,Tanjung Sekong,2022-06-25 14:25:09,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.94166667,105.99166667,masuk,keluar,-,-
525001121,Tanjung Gerem,2022-06-25 14:28:08,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.93833333,105.995,masuk,keluar,-,-
525001121,Tanjung Sekong,2022-06-25 14:28:08,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.93833333,105.995,masuk,-,-,-
525001121,Tanjung Sekong,2022-06-25 15:55:10,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.91833333,105.98166667,-,keluar,-,-
525001121,,2022-06-25 15:58:07,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,out port,-5.91666667,105.97,-,keluar,-,-
525001121,,2022-06-25 19:25:06,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,out port,-5.935,105.965,masuk,-,-,-
525001121,Tanjung Gerem,2022-06-25 19:26:53,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.93945667,105.97191167,masuk,-,-,-
525001121,Tanjung Gerem,2022-06-25 19:28:03,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.94,105.975,-,keluar,-,-
525001121,Tanjung Sekong,2022-06-25 19:28:03,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.94,105.975,masuk,keluar,-,-
525001121,Tanjung Gerem,2022-06-25 19:31:03,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.94333333,105.98333333,masuk,keluar,-,-
525001121,Tanjung Sekong,2022-06-25 19:31:03,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.94333333,105.98333333,masuk,keluar,-,-
525001121,Tanjung Gerem,2022-06-25 19:37:08,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.94,105.99333333,masuk,keluar,-,-
525001121,Tanjung Sekong,2022-06-25 19:37:08,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.94,105.99333333,masuk,keluar,-,-
525001121,Tanjung Gerem,2022-06-25 19:40:03,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.93833333,105.995,masuk,keluar,-,-
525001121,Tanjung Sekong,2022-06-25 19:40:03,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.93833333,105.995,masuk,-,-,-
525001121,Tanjung Sekong,2022-06-25 20:58:07,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.91833333,105.97666667,-,keluar,-,-
525001121,,2022-06-25 21:01:05,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,out port,-5.91666667,105.965,-,keluar,-,-
525001121,,2022-06-26 00:10:04,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,out port,-5.94333333,105.95,masuk,-,-,-
525001121,Tanjung Gerem,2022-06-26 00:13:07,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.94166667,105.95833333,masuk,-,-,-
525001121,Tanjung Gerem,2022-06-26 00:22:07,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.94166667,105.97333333,-,keluar,-,-
525001121,Tanjung Sekong,2022-06-26 00:22:07,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.94166667,105.97333333,masuk,keluar,-,-
525001121,Tanjung Gerem,2022-06-26 00:24:21,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.94204333,105.97627667,masuk,keluar,-,-
525001121,Tanjung Sekong,2022-06-26 00:24:21,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.94204333,105.97627667,masuk,keluar,-,-
525001121,Tanjung Gerem,2022-06-26 00:28:04,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.94166667,105.97833333,masuk,keluar,-,-
525001121,Tanjung Sekong,2022-06-26 00:28:04,Indonesia,Indonesia,Passenger,Underway Sailing,3.5,in port,-5.94166667,105.97833333,masuk,keluar,-,-
