mmsi,Port,dt_pos_utc,fc_vessel,sc_vessel,vessel_type,ns_vessel,draught,position,latitude,longitude,masuk_pelabuhan,keluar_pelabuhan,masuk_indo,keluar_indo
477162900,,2022-08-05 00:25:35,Hong Kong,Asing,Cargo,Under Way Using Engine,6.4,out port,1.20361333,103.89836167,-,keluar,-,keluar
477163800,,2022-08-03 16:14:51,Hong Kong,Asing,Tanker,Under Way Using Engine,7.8,out port,1.18886333,103.86614833,masuk,-,masuk,-
477163800,Pulau Sambu,2022-08-03 16:18:21,Hong Kong,Asing,Tanker,Under Way Using Engine,7.8,in port,1.19166667,103.875,masuk,-,masuk,-
477163800,Pulau Sambu,2022-08-03 16:21:26,Hong Kong,Asing,Tanker,Under Way Using Engine,7.8,in port,1.195,103.88333333,-,keluar,-,keluar
477163800,,2022-08-03 16:22:50,Hong Kong,Asing,Tanker,Under Way Using Engine,7.8,out port,1.197505,103.88868333,-,keluar,-,keluar
477166400,,2022-07-18 02:40:17,Hong Kong,Asing,Tanker,Under Way Using Engine,9.5,out port,1.18790667,103.86344667,masuk,-,masuk,-
477166400,Pulau Sambu,2022-07-18 02:44:37,Hong Kong,Asing,Tanker,Under Way Using Engine,9.5,in port,1.19436667,103.87849,masuk,keluar,masuk,keluar
477166400,,2022-07-18 02:50:28,Hong Kong,Asing,Tanker,Under Way Using Engine,9.5,out port,1.204765,103.89811167,-,keluar,-,keluar
477166500,,2022-07-19 00:17:21,Hong Kong,Asing,Cargo,Under Way Using Engine,13.7,out port,1.18481,103.85651333,masuk,-,masuk,-
477166500,Pulau Sambu,2022-07-19 00:21:35,Hong Kong,Asing,Cargo,Under Way Using Engine,13.7,in port,1.19166667,103.875,masuk,keluar,masuk,-
477166500,,2022-07-19 00:24:38,Hong Kong,Asing,Cargo,Under Way Using Engine,13.7,out port,1.19833333,103.88833333,-,keluar,-,-
477166500,,2022-10-18 08:10:37,Hong Kong,Asing,Cargo,Under Way Using Engine,12.2,out port,1.185,103.85833333,masuk,-,-,-
477166500,Pulau Sambu,2022-10-18 08:13:56,Hong Kong,Asing,Cargo,Under Way Using Engine,12.2,in port,1.19164167,103.87429167,masuk,keluar,-,keluar
477166500,,2022-10-18 08:18:14,Hong Kong,Asing,Cargo,Under Way Using Engine,12.2,out port,1.19810167,103.89376,-,keluar,-,keluar
477167400,,2022-01-11 21:06:24,Hong Kong,Asing,Cargo,Under Way Using Engine,13.8,out port,1.18401167,103.85658,masuk,-,masuk,-
477167400,Pulau Sambu,2022-01-11 21:11:55,Hong Kong,Asing,Cargo,Under Way Using Engine,13.8,in port,1.18799333,103.86742,masuk,-,masuk,-
477167400,Pulau Sambu,2022-01-11 21:16:26,Hong Kong,Asing,Cargo,Under Way Using Engine,13.8,in port,1.19247,103.87554333,-,keluar,-,-
477167400,,2022-01-11 21:23:19,Hong Kong,Asing,Cargo,Under Way Using Engine,13.8,out port,1.19917167,103.886665,-,keluar,-,-
477167400,,2022-09-25 20:19:56,Hong Kong,Asing,Cargo,Under Way Using Engine,12.5,out port,-5.98009667,105.92916833,masuk,-,-,-
