mmsi,Port,dt_pos_utc,fc_vessel,sc_vessel,vessel_type,ns_vessel,draught,position,latitude,longitude,masuk_pelabuhan,keluar_pelabuhan,masuk_indo,keluar_indo
525900619,,2022-07-20 17:24:44,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.6,out port,-7.17948333,112.688,masuk,keluar,-,-
525900619,Gresik,2022-07-20 17:36:55,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.6,in port,-7.14113333,112.6642,masuk,keluar,-,-
525900619,,2022-07-20 17:47:05,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.6,out port,-7.10503333,112.65853333,-,keluar,-,-
525900619,,2022-07-26 12:50:21,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.1,out port,-7.10363333,112.65846667,masuk,-,-,-
525900619,Gresik,2022-07-26 13:00:54,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.1,in port,-7.13593333,112.66241667,masuk,-,-,-
525900619,Gresik,2022-07-26 13:10:41,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.1,in port,-7.16225,112.67518333,-,keluar,-,-
525900619,,2022-07-26 13:20:51,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.1,out port,-7.17995,112.68648333,-,keluar,-,-
525900619,,2022-07-26 13:31:00,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.1,out port,-7.18726667,112.69466667,masuk,-,-,-
525900619,Surabaya,2022-07-26 13:41:10,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.1,in port,-7.19358333,112.70531667,masuk,-,-,-
525900619,Surabaya,2022-07-26 22:03:49,Indonesia,Indonesia,Tanker,Moored,7.1,in port,-7.1982,112.71586667,-,keluar,-,-
525900619,,2022-07-28 11:32:01,Indonesia,Indonesia,Tanker,At Anchor,7.1,out port,-7.60935,113.9853,-,keluar,-,-
525900619,,2022-08-01 16:43:58,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.1,out port,-7.10448333,112.65815,masuk,-,-,-
525900619,Gresik,2022-08-01 16:50:14,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.1,in port,-7.12606667,112.65866667,masuk,-,-,-
525900619,Gresik,2022-08-01 17:04:58,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.1,in port,-7.1722,112.67898333,-,keluar,-,-
525900619,Surabaya,2022-08-01 17:14:58,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.1,in port,-7.19271667,112.7036,masuk,-,-,-
525900619,Surabaya,2022-08-02 18:14:26,Indonesia,Indonesia,Tanker,Moored,7.1,in port,-7.19743333,112.71581667,-,keluar,-,-
525900619,,2022-08-02 18:28:24,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.1,out port,-7.18488333,112.69045,masuk,keluar,-,-
525900619,Gresik,2022-08-02 18:38:34,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.2,in port,-7.15795,112.67126667,masuk,-,-,-
525900619,Gresik,2022-08-02 18:48:44,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.2,in port,-7.12661667,112.65876667,-,keluar,-,-
525900619,,2022-08-02 18:50:40,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.2,out port,-7.11906667,112.65856667,-,keluar,-,-
525900619,,2022-08-09 02:02:02,Indonesia,Indonesia,Tanker,Under Way Using Engine,8.5,out port,-7.10573333,112.65741667,masuk,-,-,-
525900619,Gresik,2022-08-09 02:09:12,Indonesia,Indonesia,Tanker,Under Way Using Engine,8.5,in port,-7.12808333,112.6597,masuk,-,-,-
525900619,Gresik,2022-08-09 02:25:06,Indonesia,Indonesia,Tanker,Under Way Using Engine,8.5,in port,-7.17155,112.68173333,-,keluar,-,-
525900619,,2022-08-09 02:28:48,Indonesia,Indonesia,Tanker,Under Way Using Engine,8.5,out port,-7.17961667,112.6886,-,keluar,-,-
525900619,,2022-08-09 02:34:25,Indonesia,Indonesia,Tanker,Under Way Using Engine,8.5,out port,-7.1872,112.69575,masuk,-,-,-
525900619,Surabaya,2022-08-09 02:39:51,Indonesia,Indonesia,Tanker,Under Way Using Engine,8.5,in port,-7.19221667,112.70361667,masuk,-,-,-
525900619,Surabaya,2022-08-10 09:25:24,Indonesia,Indonesia,Tanker,Moored,8.5,in port,-7.19823333,112.71586667,-,keluar,-,-
525900619,Gresik,2022-08-10 10:23:44,Indonesia,Indonesia,Tanker,Under Way Using Engine,8.5,in port,-7.15685,112.67126667,masuk,-,-,-
525900619,Gresik,2022-08-10 10:33:54,Indonesia,Indonesia,Tanker,Under Way Using Engine,8.5,in port,-7.12878333,112.65835,-,keluar,-,-
525900619,,2022-08-10 10:44:04,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.1,out port,-7.09793333,112.65808333,-,keluar,-,-
525900619,,2022-08-16 00:08:25,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.5,out port,-7.09225,112.65803333,masuk,-,-,-
525900619,Gresik,2022-08-16 00:17:44,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.5,in port,-7.12605,112.65896667,masuk,-,-,-
525900619,Gresik,2022-08-16 00:27:22,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.5,in port,-7.15831667,112.67345,-,keluar,-,-
525900619,,2022-08-16 00:37:31,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.5,out port,-7.18228333,112.69205,masuk,keluar,-,-
525900619,Surabaya,2022-08-16 00:47:52,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.5,in port,-7.19035,112.70753333,masuk,-,-,-
525900619,Surabaya,2022-08-16 21:26:57,Indonesia,Indonesia,Tanker,Moored,7.5,in port,-7.19821667,112.7164,-,keluar,-,-
525900619,Gresik,2022-08-16 21:52:42,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.5,in port,-7.15346667,112.66875,masuk,-,-,-
525900619,Gresik,2022-08-16 22:01:34,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.1,in port,-7.12421667,112.65821667,-,keluar,-,-
525900619,,2022-08-16 22:02:54,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.1,out port,-7.11998333,112.65771667,-,keluar,-,-
525900619,,2022-08-22 13:37:19,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.4,out port,-7.09936667,112.65835,masuk,-,-,-
525900619,Gresik,2022-08-22 13:47:20,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.4,in port,-7.12478333,112.65888333,masuk,-,-,-
525900619,Gresik,2022-08-22 14:07:29,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.4,in port,-7.16278333,112.67546667,-,keluar,-,-
525900619,,2022-08-22 14:17:39,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.4,out port,-7.17365,112.68256667,-,keluar,-,-
525900619,,2022-08-22 14:28:11,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.4,out port,-7.18276667,112.69203333,masuk,-,-,-
525900619,Surabaya,2022-08-22 14:38:20,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.4,in port,-7.18918333,112.70121667,masuk,-,-,-
525900619,Surabaya,2022-08-23 17:53:41,Indonesia,Indonesia,Tanker,Moored,7.4,in port,-7.19826667,112.71586667,-,keluar,-,-
525900619,,2022-08-23 18:15:46,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.3,out port,-7.183,112.69066667,-,keluar,-,-
525900619,,2022-08-23 18:19:15,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.3,out port,-7.17386667,112.68173333,masuk,-,-,-
525900619,Gresik,2022-08-23 18:23:20,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.3,in port,-7.15988333,112.6731,masuk,-,-,-
525900619,Gresik,2022-08-23 18:32:33,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.3,in port,-7.12653333,112.65846667,-,keluar,-,-
525900619,,2022-08-23 18:35:51,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.3,out port,-7.11403333,112.65821667,-,keluar,-,-
525900619,,2022-08-28 05:33:37,Indonesia,Indonesia,Tanker,At Anchor,8.5,out port,-6.85976667,112.78175,masuk,-,-,-
525900619,Gresik,2022-08-28 13:09:50,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.1,in port,-7.16713333,112.67833333,masuk,keluar,-,-
525900619,,2022-08-28 13:19:50,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.1,out port,-7.1867,112.69583333,masuk,keluar,-,-
525900619,Surabaya,2022-08-28 13:30:00,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.1,in port,-7.19221667,112.7095,masuk,-,-,-
525900619,Surabaya,2022-08-29 16:06:19,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.0,in port,-7.193,112.7068,-,keluar,-,-
525900619,Gresik,2022-08-29 16:17:48,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.0,in port,-7.17001667,112.68033333,masuk,-,-,-
525900619,Gresik,2022-08-29 16:28:47,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.0,in port,-7.1319,112.66093333,-,keluar,-,-
525900619,,2022-08-29 16:33:30,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.0,out port,-7.11426667,112.6586,-,keluar,-,-
525900619,,2022-09-04 00:26:08,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.0,out port,-7.1075,112.65773333,masuk,-,-,-
525900619,Gresik,2022-09-04 00:35:06,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.0,in port,-7.13571667,112.65825,masuk,-,-,-
525900619,Gresik,2022-09-04 00:46:22,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.0,in port,-7.16653333,112.67536667,-,keluar,-,-
525900619,,2022-09-04 00:56:31,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.0,out port,-7.18645,112.69273333,masuk,keluar,-,-
525900619,Surabaya,2022-09-04 01:02:37,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.0,in port,-7.19296667,112.70313333,masuk,-,-,-
525900619,Surabaya,2022-09-05 07:31:43,Indonesia,Indonesia,Tanker,Moored,6.2,in port,-7.19821667,112.7159,-,keluar,-,-
525900619,,2022-09-05 08:02:31,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.2,out port,-7.17981667,112.6877,masuk,keluar,-,-
525900619,Gresik,2022-09-05 08:08:12,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.2,in port,-7.16851667,112.67998333,masuk,-,-,-
525900619,Gresik,2022-09-05 08:21:38,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.2,in port,-7.14005,112.66415,-,keluar,-,-
525900619,,2022-09-05 08:28:53,Indonesia,Indonesia,Tanker,Under Way Using Engine,6.2,out port,-7.11821667,112.65986667,-,keluar,-,-
525900619,,2022-09-10 09:27:36,Indonesia,Indonesia,Tanker,Moored,8.4,out port,-7.11566667,112.65385,masuk,-,-,-
525900619,Gresik,2022-09-10 09:44:45,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.5,in port,-7.14288333,112.66118333,masuk,-,-,-
525900619,Gresik,2022-09-10 09:45:50,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.5,in port,-7.14615,112.66276667,-,keluar,-,-
525900619,,2022-09-10 09:56:00,Indonesia,Indonesia,Tanker,Under Way Using Engine,7.5,out port,-7.17341667,112.68066667,masuk,keluar,-,-
