mmsi,Port,dt_pos_utc,fc_vessel,sc_vessel,vessel_type,ns_vessel,draught,position,latitude,longitude,masuk_pelabuhan,keluar_pelabuhan,masuk_indo,keluar_indo
525018455,Tanjung Gerem,2022-03-13 17:34:04,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,in port,-5.939335,105.96897167,masuk,-,-,-
525018455,Tanjung Gerem,2022-03-13 17:47:06,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,in port,-5.94219833,105.99310833,-,keluar,-,-
525018455,Tanjung Sekong,2022-03-13 17:47:06,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,in port,-5.94219833,105.99310833,masuk,-,-,-
525018455,Tanjung Sekong,2022-03-13 18:55:44,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,in port,-5.924115,105.99025833,-,keluar,-,-
525018455,,2022-03-13 19:35:28,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,out port,-5.902165,105.893505,-,keluar,-,-
525018455,,2022-03-13 22:51:56,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,out port,-5.91975,105.91637167,masuk,-,-,-
525018455,Tanjung Gerem,2022-03-13 23:30:25,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,in port,-5.94192667,105.97598333,masuk,keluar,-,-
525018455,Tanjung Sekong,2022-03-13 23:30:25,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,in port,-5.94192667,105.97598333,masuk,keluar,-,-
525018455,Tanjung Gerem,2022-03-13 23:42:26,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,in port,-5.94215667,105.99282833,masuk,keluar,-,-
525018455,Tanjung Sekong,2022-03-13 23:42:26,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,in port,-5.94215667,105.99282833,masuk,keluar,-,-
525018455,Tanjung Gerem,2022-03-13 23:56:57,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,in port,-5.93814,105.99579667,masuk,keluar,-,-
525018455,Tanjung Sekong,2022-03-13 23:56:57,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,in port,-5.93814,105.99579667,masuk,keluar,-,-
525018455,Tanjung Gerem,2022-03-14 16:04:51,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,in port,-5.95209667,105.96901167,masuk,keluar,-,-
525018455,Tanjung Sekong,2022-03-14 17:39:10,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,in port,-5.92021167,105.9748,masuk,keluar,-,-
525018455,,2022-03-14 17:57:22,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,out port,-5.91355833,105.932095,-,keluar,-,-
525018455,,2022-03-14 22:00:57,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,out port,-5.93975833,105.95190167,masuk,-,-,-
525018455,Tanjung Gerem,2022-03-14 22:27:26,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,in port,-5.94465,105.98423167,masuk,keluar,-,-
525018455,,2022-03-15 00:30:56,Indonesia,Indonesia,Passenger,Under Way Using Engine,3.7,out port,-5.88643667,105.85750667,-,keluar,-,-
