mmsi,Port,dt_pos_utc,fc_vessel,sc_vessel,vessel_type,ns_vessel,draught,position,latitude,longitude,masuk_pelabuhan,keluar_pelabuhan,masuk_indo,keluar_indo
525012201,Tanjung Sekong,2022-10-02 06:32:52,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.888555,106.02848833,masuk,keluar,-,-
525012201,,2022-10-02 06:38:12,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,-,keluar,-,-
525012201,,2022-10-02 06:41:09,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-02 06:44:52,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.88854833,106.02848333,masuk,keluar,-,-
525012201,,2022-10-02 06:47:08,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,keluar,-,-
525012201,Tanjung Sekong,2022-10-02 06:56:52,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.88854167,106.02847667,masuk,keluar,-,-
525012201,,2022-10-02 06:59:07,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,-,keluar,-,-
525012201,,2022-10-02 07:05:07,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-02 07:08:52,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.88853833,106.02850833,masuk,keluar,-,-
525012201,,2022-10-02 07:11:07,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,-,keluar,-,-
525012201,,2022-10-02 07:17:06,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-02 07:20:52,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.88853167,106.02849,masuk,keluar,-,-
525012201,,2022-10-02 07:26:08,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,keluar,-,-
525012201,Tanjung Sekong,2022-10-02 07:32:52,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.888525,106.02849,masuk,keluar,-,-
525012201,,2022-10-02 07:41:11,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,keluar,-,-
525012201,Tanjung Sekong,2022-10-02 07:44:53,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.88853833,106.02847333,masuk,keluar,-,-
525012201,,2022-10-02 07:47:08,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,-,keluar,-,-
525012201,,2022-10-02 07:53:09,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-02 07:56:52,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.88852333,106.02848,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-02 08:08:53,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.88852167,106.028475,-,keluar,-,-
525012201,,2022-10-02 08:11:11,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,-,keluar,-,-
525012201,,2022-10-02 08:17:07,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-02 08:20:53,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.888535,106.02847333,masuk,keluar,-,-
525012201,,2022-10-02 08:23:07,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,-,keluar,-,-
525012201,,2022-10-02 08:26:07,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-02 08:32:53,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.88852333,106.02847167,masuk,keluar,-,-
525012201,,2022-10-02 08:38:09,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,keluar,-,-
525012201,Tanjung Sekong,2022-10-02 08:44:53,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.88852167,106.02846833,masuk,keluar,-,-
525012201,,2022-10-02 08:53:13,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,keluar,-,-
525012201,Tanjung Sekong,2022-10-02 08:56:53,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.88852167,106.02846333,masuk,keluar,-,-
525012201,,2022-10-02 08:59:12,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,-,keluar,-,-
525012201,,2022-10-02 09:05:09,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-02 09:08:53,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.88851833,106.02846667,masuk,keluar,-,-
525012201,,2022-10-02 09:17:08,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,keluar,-,-
525012201,Tanjung Sekong,2022-10-02 09:20:53,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.88852167,106.02848333,masuk,keluar,-,-
525012201,,2022-10-02 09:23:11,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,-,keluar,-,-
525012201,,2022-10-02 09:26:11,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-02 09:32:54,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.888525,106.02846833,masuk,keluar,-,-
525012201,,2022-10-02 09:38:07,Indonesia,Indonesia,Cargo,Moored,5.2,out port,-5.88833333,106.02833333,masuk,keluar,-,-
525012201,Tanjung Sekong,2022-10-02 09:44:54,Indonesia,Indonesia,Cargo,Moored,5.2,in port,-5.88851833,106.02846333,masuk,keluar,-,-
525012201,,2022-10-02 09:47:08,Indonesia,Indonesia,Cargo,Moored,5.2,out port,-5.88833333,106.02833333,-,keluar,-,-
525012201,,2022-10-02 09:50:08,Indonesia,Indonesia,Cargo,Moored,5.2,out port,-5.88833333,106.02833333,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-02 09:56:54,Indonesia,Indonesia,Cargo,Moored,5.2,in port,-5.88850167,106.028455,masuk,keluar,-,-
525012201,,2022-10-02 10:02:08,Indonesia,Indonesia,Cargo,Moored,5.2,out port,-5.88833333,106.02833333,-,keluar,-,-
525012201,,2022-10-02 10:05:11,Indonesia,Indonesia,Cargo,Moored,5.2,out port,-5.88833333,106.02833333,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-02 10:08:53,Indonesia,Indonesia,Cargo,Moored,5.2,in port,-5.88852333,106.02846833,masuk,keluar,-,-
525012201,,2022-10-02 10:11:08,Indonesia,Indonesia,Cargo,Moored,5.2,out port,-5.88833333,106.02833333,-,keluar,-,-
525012201,,2022-10-02 10:36:15,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.2,out port,-5.88556667,105.98896,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-02 10:41:15,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.2,in port,-5.89333333,105.97833333,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-02 10:44:10,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.2,in port,-5.9,105.97333333,-,keluar,-,-
525012201,,2022-10-02 10:47:14,Indonesia,Indonesia,Cargo,Under Way Using Engine,5.2,out port,-5.905,105.96666667,-,keluar,-,-
525012201,,2022-10-04 14:39:56,Indonesia,Indonesia,Cargo,Under Way Using Engine,6.8,out port,-5.91571333,105.96481667,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-04 14:46:48,Indonesia,Indonesia,Cargo,Under Way Using Engine,6.8,in port,-5.911655,105.97157,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-04 15:16:37,Indonesia,Indonesia,Cargo,Under Way Using Engine,6.8,in port,-5.89022833,105.996325,-,keluar,-,-
525012201,,2022-10-04 15:20:17,Indonesia,Indonesia,Cargo,Under Way Using Engine,6.8,out port,-5.887855,105.99971333,-,keluar,-,-
525012201,,2022-10-05 05:50:16,Indonesia,Indonesia,Cargo,At Anchor,6.8,out port,-5.88666667,106.02666667,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-05 05:59:24,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.8885,106.02836,masuk,keluar,-,-
525012201,,2022-10-05 06:05:14,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,keluar,-,-
525012201,Tanjung Sekong,2022-10-05 06:11:23,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.88855,106.02848,masuk,keluar,-,-
525012201,,2022-10-05 06:14:17,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,-,keluar,-,-
525012201,,2022-10-05 06:20:13,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,masuk,-,-,-
525012201,Tanjung Sekong,2022-10-05 06:23:24,Indonesia,Indonesia,Cargo,Moored,6.8,in port,-5.88855333,106.02848,masuk,keluar,-,-
525012201,,2022-10-05 06:26:16,Indonesia,Indonesia,Cargo,Moored,6.8,out port,-5.88833333,106.02833333,-,keluar,-,-
