mmsi,Port,dt_pos_utc,fc_vessel,sc_vessel,vessel_type,ns_vessel,draught,position,latitude,longitude,masuk_pelabuhan,keluar_pelabuhan,masuk_indo,keluar_indo
525002129,Balikpapan,2022-05-27 00:38:51,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,in port,-1.22842833,116.78997167,-,keluar,-,-
525002129,,2022-05-27 00:49:02,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,out port,-1.23779,116.78244,-,keluar,-,-
525002129,,2022-05-27 01:50:32,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,out port,-1.23510167,116.78613333,masuk,-,-,-
525002129,Balikpapan,2022-05-27 02:00:42,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,in port,-1.22668,116.79382167,masuk,-,-,-
525002129,Balikpapan,2022-05-27 02:10:42,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,in port,-1.22021333,116.80167833,-,keluar,-,-
525002129,,2022-05-27 02:20:42,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,out port,-1.20976833,116.80663167,-,keluar,-,-
525002129,,2022-05-27 03:22:22,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,out port,-1.212665,116.80538,masuk,-,-,-
525002129,Balikpapan,2022-05-27 03:32:31,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,in port,-1.22135833,116.80000333,masuk,-,-,-
525002129,Balikpapan,2022-05-27 03:42:41,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,in port,-1.22806333,116.79155,-,keluar,-,-
525002129,,2022-05-27 03:52:51,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,out port,-1.23495667,116.78328833,-,keluar,-,-
525002129,,2022-05-27 04:43:21,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,out port,-1.23882667,116.78099,masuk,-,-,-
525002129,Balikpapan,2022-05-27 04:53:22,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,in port,-1.23097,116.79015667,masuk,-,-,-
525002129,Balikpapan,2022-05-27 05:03:22,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,in port,-1.22254333,116.79931167,-,keluar,-,-
525002129,,2022-05-27 05:13:42,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,out port,-1.21148667,116.80598,-,keluar,-,-
525002129,,2022-05-27 06:22:02,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,out port,-1.20980833,116.80628833,masuk,-,-,-
525002129,Balikpapan,2022-05-27 06:32:12,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,in port,-1.21908167,116.80262833,masuk,-,-,-
525002129,Balikpapan,2022-05-27 06:42:21,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,in port,-1.22598167,116.79454667,-,keluar,-,-
525002129,,2022-05-27 06:52:22,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,out port,-1.23192,116.78556833,-,keluar,-,-
525002129,,2022-05-27 07:53:21,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,out port,-1.230045,116.78428667,masuk,-,-,-
525002129,Balikpapan,2022-05-27 08:03:51,Indonesia,Indonesia,Passenger,Under Way Using Engine,2.5,in port,-1.22694833,116.79390333,masuk,-,-,-
