mmsi,Port,dt_pos_utc,fc_vessel,sc_vessel,vessel_type,ns_vessel,draught,position,latitude,longitude,masuk_pelabuhan,keluar_pelabuhan,masuk_indo,keluar_indo
525005016,Ujung Pandang,2022-01-09 23:50:24,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,in port,-5.14863,119.370005,masuk,keluar,-,-
525005016,,2022-01-09 23:58:13,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,-5.17242,119.36191333,-,keluar,-,-
525005016,,2022-01-12 04:15:42,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,-8.69646,115.33820333,masuk,-,-,-
525005016,Benoa,2022-01-13 01:19:16,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,in port,-8.747215,115.21323667,masuk,-,-,-
525005016,Benoa,2022-01-13 01:31:10,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,in port,-8.754525,115.239015,-,keluar,-,-
525005016,,2022-01-13 01:38:07,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,-8.74504,115.256955,-,keluar,-,-
525005016,,2022-01-15 11:02:44,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,-5.16125,119.36466667,masuk,-,-,-
525005016,Ujung Pandang,2022-01-15 11:14:24,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,in port,-5.13015833,119.37649,masuk,-,-,-
525005016,Ujung Pandang,2022-01-15 15:06:35,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,in port,-5.14223667,119.375415,-,keluar,-,-
525005016,,2022-01-15 15:14:15,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,-5.15977667,119.36684667,-,keluar,-,-
525005016,,2022-01-16 09:15:05,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,-5.51271667,122.25775833,masuk,-,-,-
525005016,Baubau,2022-01-16 13:03:29,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,in port,-5.43668167,122.60989833,masuk,keluar,-,-
525005016,,2022-01-16 13:20:57,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,-5.3811,122.62495833,-,keluar,-,-
525005016,,2022-01-17 00:13:36,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,-3.97273333,122.62837,masuk,-,-,-
525005016,Kendari,2022-01-17 05:22:36,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,in port,-3.97194833,122.61082667,masuk,keluar,-,-
525005016,,2022-01-17 05:27:26,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,-3.972215,122.61830167,-,keluar,-,-
525005016,,2022-01-17 21:16:42,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,-0.99546833,122.83125,masuk,-,-,-
525005016,Luwuk,2022-01-17 21:22:42,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,in port,-0.97563833,122.825585,masuk,-,-,-
525005016,Luwuk,2022-01-18 00:22:43,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,in port,-0.952975,122.81956167,-,keluar,-,-
525005016,,2022-01-18 00:28:51,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,-0.95726,122.838235,-,keluar,-,-
525005016,,2022-01-18 12:07:27,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,0.46491833,123.06153,masuk,-,-,-
525005016,Gorontalo,2022-01-18 12:13:25,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,in port,0.48189,123.05904833,masuk,-,-,-
525005016,Gorontalo,2022-01-18 13:58:36,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,in port,0.48103667,123.05901333,-,keluar,-,-
525005016,,2022-01-18 14:05:26,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,0.46274833,123.06994333,-,keluar,-,-
525005016,,2022-01-19 02:52:09,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,1.108565,125.03877667,masuk,-,-,-
525005016,Bitung,2022-01-19 04:45:50,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,in port,1.43200333,125.17162667,masuk,-,-,-
525005016,Bitung,2022-01-19 04:47:26,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,in port,1.43414667,125.17582833,-,keluar,-,-
525005016,,2022-01-20 11:11:40,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,0.37796667,124.38638333,-,keluar,-,-
525005016,,2022-01-20 18:35:06,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,0.446905,123.084325,masuk,-,-,-
525005016,Gorontalo,2022-01-20 18:46:28,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,in port,0.470985,123.06306833,masuk,-,-,-
525005016,Gorontalo,2022-01-20 20:37:07,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,in port,0.47854,123.06111167,-,keluar,-,-
525005016,,2022-01-20 20:44:16,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,0.455695,123.06589667,-,keluar,-,-
525005016,,2022-01-21 07:55:23,Indonesia,Indonesia,Passenger,Under Way Using Engine,4.2,out port,-0.96064833,122.84809,masuk,-,-,-
