mmsi,Port,dt_pos_utc,fc_vessel,sc_vessel,vessel_type,ns_vessel,draught,position,latitude,longitude,masuk_pelabuhan,keluar_pelabuhan,masuk_indo,keluar_indo
525101837,Tanjunguban,2022-06-24 18:06:40,Indonesia,Indonesia,Tanker,Under Way Using Engine,4.3,in port,1.08666667,104.19,-,keluar,-,-
525101837,,2022-06-24 18:11:31,Indonesia,Indonesia,Tanker,Under Way Using Engine,4.3,out port,1.09213667,104.187115,-,keluar,-,-
525101837,,2022-06-26 22:24:43,Indonesia,Indonesia,Tanker,At Anchor,4.3,out port,1.08833333,104.18333333,masuk,-,-,-
525101837,Tanjunguban,2022-06-26 22:42:42,Indonesia,Indonesia,Tanker,At Anchor,4.3,in port,1.08,104.19833333,masuk,-,-,-
525101837,Tanjunguban,2022-06-27 13:21:44,Indonesia,Indonesia,Tanker,Moored,4.3,in port,1.07166667,104.21,-,keluar,-,-
525101837,,2022-06-27 13:53:04,Indonesia,Indonesia,Tanker,Under Way Using Engine,4.3,out port,1.008305,104.21041167,-,keluar,-,-
525101837,,2022-06-29 09:57:45,Indonesia,Indonesia,Tanker,At Anchor,5.1,out port,0.09,109.06166667,masuk,-,-,-
525101837,Pontianak,2022-06-29 12:00:44,Indonesia,Indonesia,Tanker,At Anchor,5.1,in port,0.00166667,109.30833333,masuk,-,-,-
525101837,Pontianak,2022-07-13 07:13:46,Indonesia,Indonesia,Tanker,Moored,5.1,in port,0.00472167,109.30423,-,keluar,-,-
525101837,,2022-07-13 07:42:50,Indonesia,Indonesia,Tanker,Moored,5.1,out port,0.00333333,109.285,-,keluar,-,-
525101837,,2022-07-14 00:48:49,Indonesia,Indonesia,Tanker,At Anchor,5.1,out port,0.00333333,109.285,masuk,-,-,-
525101837,Pontianak,2022-07-14 01:12:55,Indonesia,Indonesia,Tanker,At Anchor,5.1,in port,0.00166667,109.30166667,masuk,-,-,-
525101837,Pontianak,2022-07-14 09:39:55,Indonesia,Indonesia,Tanker,At Anchor,5.1,in port,0.00333333,109.30333333,-,keluar,-,-
525101837,,2022-07-14 11:51:52,Indonesia,Indonesia,Tanker,At Anchor,5.1,out port,0.05666667,109.04333333,-,keluar,-,-
525101837,,2022-07-20 03:57:57,Indonesia,Indonesia,Tanker,Under Way Using Engine,5.1,out port,-1.286545,116.79827333,masuk,-,-,-
525101837,Balikpapan,2022-07-20 04:04:55,Indonesia,Indonesia,Tanker,Under Way Using Engine,5.1,in port,-1.28130167,116.79715833,masuk,-,-,-
525101837,Balikpapan,2022-07-21 15:55:23,Indonesia,Indonesia,Tanker,Under Way Using Engine,5.1,in port,-1.27749667,116.80175,-,keluar,-,-
525101837,,2022-07-21 16:02:59,Indonesia,Indonesia,Tanker,Under Way Using Engine,5.1,out port,-1.29686833,116.80372333,-,keluar,-,-
525101837,,2022-07-28 08:52:19,Indonesia,Indonesia,Tanker,Under Way Using Engine,5.1,out port,-1.28412833,116.79986333,masuk,-,-,-
525101837,Balikpapan,2022-07-28 08:54:58,Indonesia,Indonesia,Tanker,Under Way Using Engine,5.1,in port,-1.27833333,116.79833333,masuk,-,-,-
525101837,Balikpapan,2022-07-31 12:04:05,Indonesia,Indonesia,Tanker,Under Way Using Engine,5.1,in port,-1.275,116.79833333,-,keluar,-,-
525101837,,2022-07-31 12:07:04,Indonesia,Indonesia,Tanker,Under Way Using Engine,5.1,out port,-1.28333333,116.79666667,-,keluar,-,-
525101837,,2022-08-10 04:22:08,Indonesia,Indonesia,Tanker,At Anchor,5.1,out port,-6.90666667,110.41,masuk,-,-,-
525101837,Semarang,2022-08-10 04:55:06,Indonesia,Indonesia,Tanker,At Anchor,5.1,in port,-6.94666667,110.41833333,masuk,-,-,-
525101837,Semarang,2022-09-15 02:59:11,Indonesia,Indonesia,Tanker,At Anchor,5.1,in port,-6.95166667,110.42,-,keluar,-,-
525101837,,2022-09-15 03:44:10,Indonesia,Indonesia,Tanker,At Anchor,5.1,out port,-6.87833333,110.41833333,-,keluar,-,-
525101837,,2022-09-23 09:03:13,Indonesia,Indonesia,Tanker,Under Way Using Engine,3.8,out port,-5.883805,105.9892,masuk,-,-,-
525101837,Tanjung Sekong,2022-09-23 09:05:14,Indonesia,Indonesia,Tanker,Under Way Using Engine,3.8,in port,-5.88666667,105.98833333,masuk,-,-,-
525101837,Tanjung Sekong,2022-09-24 10:28:33,Indonesia,Indonesia,Tanker,Under Way Using Engine,3.8,in port,-5.89352833,105.99454167,-,keluar,-,-
525101837,,2022-09-24 10:32:15,Indonesia,Indonesia,Tanker,Under Way Using Engine,3.8,out port,-5.88333333,105.995,-,keluar,-,-
525101837,,2022-10-02 10:02:19,Indonesia,Indonesia,Tanker,Under Way Using Engine,4.9,out port,-1.28333333,116.79833333,masuk,-,-,-
525101837,Balikpapan,2022-10-02 10:05:19,Indonesia,Indonesia,Tanker,Under Way Using Engine,4.9,in port,-1.28,116.79666667,masuk,-,-,-
525101837,Balikpapan,2022-10-02 10:15:57,Indonesia,Indonesia,Tanker,Under Way Using Engine,4.9,in port,-1.26735667,116.78942333,-,keluar,-,-
525101837,,2022-10-02 10:17:22,Indonesia,Indonesia,Tanker,Under Way Using Engine,4.9,out port,-1.26666667,116.78666667,-,keluar,-,-
525101837,,2022-10-03 04:02:23,Indonesia,Indonesia,Tanker,Under Way Using Engine,4.9,out port,-1.26666667,116.78666667,masuk,-,-,-
525101837,Balikpapan,2022-10-03 04:05:27,Indonesia,Indonesia,Tanker,Under Way Using Engine,4.9,in port,-1.26721167,116.7905,masuk,-,-,-
525101837,Balikpapan,2022-10-06 08:35:22,Indonesia,Indonesia,Tanker,Under Way Using Engine,4.9,in port,-1.27666667,116.79666667,-,keluar,-,-
525101837,,2022-10-06 08:38:22,Indonesia,Indonesia,Tanker,Under Way Using Engine,4.9,out port,-1.285,116.795,-,keluar,-,-
525101837,,2022-10-14 16:29:29,Indonesia,Indonesia,Tanker,At Anchor,4.9,out port,-1.36,116.965,masuk,-,-,-
525101837,Balikpapan,2022-10-14 18:26:28,Indonesia,Indonesia,Tanker,At Anchor,4.9,in port,-1.26666667,116.80833333,masuk,-,-,-
