mmsi,Port,dt_pos_utc,fc_vessel,sc_vessel,vessel_type,ns_vessel,draught,position,latitude,longitude,masuk_pelabuhan,keluar_pelabuhan,masuk_indo,keluar_indo
525005002,Baubau,2022-11-29 18:30:40,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-5.44666667,122.6,masuk,-,-,-
525005002,Baubau,2022-11-29 21:09:38,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-5.44666667,122.59666667,-,keluar,-,-
525005002,,2022-11-29 21:15:39,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-5.46,122.58,-,keluar,-,-
525005002,,2022-11-30 21:36:39,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-3.71,128.13166667,masuk,-,-,-
525005002,Ambon,2022-11-30 21:42:06,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-3.70204333,128.15083667,masuk,-,-,-
525005002,Ambon,2022-12-01 04:18:42,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-3.70666667,128.14166667,-,keluar,-,-
525005002,,2022-12-01 04:21:40,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-3.715,128.13166667,-,keluar,-,-
525005002,,2022-12-02 01:46:06,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-0.86377667,131.203425,masuk,-,-,-
525005002,Tg. Sorong,2022-12-02 01:55:26,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-0.87011333,131.21469833,masuk,-,-,-
525005002,Tg. Sorong,2022-12-02 07:06:39,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-0.86833333,131.215,-,keluar,-,-
525005002,,2022-12-02 07:12:42,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-0.85666667,131.195,-,keluar,-,-
525005002,,2022-12-03 07:12:40,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-1.92166667,136.215,masuk,-,-,-
525005002,Serui,2022-12-03 07:24:44,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-1.90166667,136.24166667,masuk,-,-,-
525005002,Serui,2022-12-03 12:18:45,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-1.925,136.25,-,keluar,-,-
525005002,,2022-12-03 12:21:46,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-1.93333333,136.25833333,-,keluar,-,-
525005002,,2022-12-04 07:22:48,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-2.54134,140.75216167,masuk,-,-,-
525005002,Jayapura,2022-12-04 07:25:17,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-2.54214167,140.743415,masuk,-,-,-
525005002,Jayapura,2022-12-04 18:19:04,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-2.541955,140.74254333,-,keluar,-,-
525005002,,2022-12-04 18:21:45,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-2.54166667,140.75,-,keluar,-,-
525005002,,2022-12-05 16:39:56,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-1.93238167,136.258565,masuk,-,-,-
525005002,Serui,2022-12-05 16:42:44,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-1.925,136.25,masuk,-,-,-
525005002,Serui,2022-12-05 18:48:47,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-1.92166667,136.22833333,-,keluar,-,-
525005002,,2022-12-05 18:51:40,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-1.92166667,136.21666667,-,keluar,-,-
525005002,,2022-12-06 18:30:43,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-0.86166667,131.2,masuk,-,-,-
525005002,Tg. Sorong,2022-12-06 18:33:45,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-0.86666667,131.21,masuk,-,-,-
525005002,Tg. Sorong,2022-12-06 22:00:45,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-0.87,131.21333333,-,keluar,-,-
525005002,,2022-12-06 22:03:42,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-0.865,131.20166667,-,keluar,-,-
525005002,,2022-12-07 20:25:44,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-3.71075,128.1316,masuk,-,-,-
525005002,Ambon,2022-12-07 20:29:56,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-3.70106333,128.14635667,masuk,-,-,-
525005002,Ambon,2022-12-07 23:33:36,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-3.70391,128.14771833,-,keluar,-,-
525005002,,2022-12-07 23:43:31,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-3.72342833,128.111145,-,keluar,-,-
525005002,,2022-12-09 00:54:45,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-5.45666667,122.58166667,masuk,-,-,-
525005002,Baubau,2022-12-09 00:57:44,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-5.45166667,122.59166667,masuk,-,-,-
525005002,Baubau,2022-12-09 03:12:45,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-5.44833333,122.59,-,keluar,-,-
525005002,,2022-12-09 03:15:44,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-5.45,122.58,-,keluar,-,-
525005002,,2022-12-09 18:26:45,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-5.13843833,119.36718167,masuk,-,-,-
525005002,Ujung Pandang,2022-12-09 18:30:47,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-5.12333333,119.36833333,masuk,keluar,-,-
525005002,,2022-12-09 18:33:47,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-5.11833333,119.37,-,keluar,-,-
525005002,,2022-12-09 18:34:18,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-5.11706667,119.37112167,masuk,-,-,-
525005002,Ujung Pandang,2022-12-09 18:36:56,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-5.113725,119.37265667,masuk,-,-,-
525005002,Ujung Pandang,2022-12-09 22:15:45,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-5.11666667,119.38333333,-,keluar,-,-
525005002,,2022-12-09 22:22:53,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-5.11605833,119.35621167,-,keluar,-,-
525005002,,2022-12-11 03:36:48,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-7.10833333,112.65666667,masuk,-,-,-
525005002,Gresik,2022-12-11 03:43:04,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-7.13245667,112.66125333,masuk,-,-,-
525005002,Gresik,2022-12-11 03:54:43,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-7.16833333,112.68,-,keluar,-,-
525005002,,2022-12-11 03:57:43,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-7.17666667,112.68833333,-,keluar,-,-
525005002,,2022-12-11 04:03:50,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-7.18833333,112.7,masuk,-,-,-
525005002,Surabaya,2022-12-11 04:06:50,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-7.19,112.705,masuk,-,-,-
525005002,Surabaya,2022-12-11 07:21:45,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-7.19166667,112.70833333,-,keluar,-,-
525005002,,2022-12-11 07:24:45,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-7.18833333,112.69833333,-,keluar,-,-
525005002,,2022-12-11 07:28:43,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-7.179305,112.68515167,masuk,-,-,-
525005002,Gresik,2022-12-11 07:30:45,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-7.17166667,112.68,masuk,-,-,-
525005002,Gresik,2022-12-11 07:41:31,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,in port,-7.12827833,112.65969333,-,keluar,-,-
525005002,,2022-12-11 07:48:03,Indonesia,Indonesia,Passenger,Under Way Using Engine,5.8,out port,-7.09925167,112.65782833,-,keluar,-,-
