day,average_time_in_port
8/5/2023,15.4712585
8/6/2023,15.19839744
8/7/2023,11.22312925
8/8/2023,29.00384615
8/9/2023,47.94589041
8/10/2023,131.1986891
8/11/2023,8.412222222
8/12/2023,12.40177305
8/13/2023,8.926404494
8/14/2023,15.54904215
8/15/2023,8.602777778
8/16/2023,9.706704981
8/17/2023,9.242176871
8/18/2023,6.484401709
8/19/2023,9.357392473
8/20/2023,6.078842315
8/21/2023,9.81588785
8/22/2023,16.24942529
8/23/2023,33.47416667
8/24/2023,14.7467433
8/25/2023,12.27128514
8/26/2023,12.85222222
8/27/2023,97.91974638
8/28/2023,11.90721649
8/29/2023,20.07859649
8/30/2023,11.66648551
8/31/2023,9.377368421
9/1/2023,13.28989362
9/2/2023,9.457875458
9/3/2023,7.286111111
9/4/2023,11.60555556
9/5/2023,8.02659176
9/6/2023,11.23401361
9/7/2023,12.99217687
9/8/2023,25.36200717
9/9/2023,12.40151515
9/10/2023,47.11811594
9/11/2023,8.879700855
9/12/2023,10.66025641
9/13/2023,9.081458333
9/14/2023,10.26647727
9/15/2023,9.704212454
9/16/2023,10.23448276
9/17/2023,9.367210145
9/18/2023,13.34457364
9/19/2023,11.00388889
9/20/2023,14.63433735
9/21/2023,12.72131783
9/22/2023,11.58630952
9/23/2023,12.77183908
9/24/2023,12.71018519
9/25/2023,112.8577381
9/26/2023,10.66576087
9/27/2023,10.16219931
9/28/2023,13.22246377
9/29/2023,10.653663
9/30/2023,12.01420455
10/1/2023,18.2443038
10/2/2023,10.68155556
10/3/2023,18.87816901
10/4/2023,16.97645833
10/5/2023,17.76847826
10/6/2023,15.40149573
10/7/2023,18.61937984
10/8/2023,11.80054945
10/9/2023,33.8375502
10/10/2023,22.24728682
10/11/2023,22.29761905
10/12/2023,105.2769547
10/13/2023,22.39694836
10/14/2023,41.43374486
10/15/2023,17.8437276
10/16/2023,20.08278388
10/17/2023,436.3985
10/18/2023,48.90347985
10/19/2023,14.09800995
10/20/2023,32.45386179
10/21/2023,26.22521368
10/22/2023,13.65866667
10/23/2023,21.85780591
10/24/2023,17.43770833
10/25/2023,20.41375969
10/26/2023,58.44061303
10/27/2023,23.37713675
10/28/2023,19.60058824
10/29/2023,16.21628352
10/30/2023,17.96821705
10/31/2023,25.24882629
11/1/2023,23.47018779
11/2/2023,58.61377778
11/3/2023,9.819907407
11/4/2023,13.01103604
11/5/2023,12.0474359
11/6/2023,9.949607843
11/7/2023,10.55600775
11/8/2023,11.11292517
11/9/2023,11.48411765
11/10/2023,20.86729167
11/11/2023,20.81090535
11/12/2023,15.78607843
11/13/2023,13.2518018
11/14/2023,9.133125
11/15/2023,85.02738095
11/16/2023,14.37572464
11/17/2023,54.88192771
11/18/2023,9.719047619
11/19/2023,13.79047619
11/20/2023,11.10681004
11/21/2023,45.90537037
11/22/2023,11.19363296
11/23/2023,15.52468354
11/24/2023,16.18467433
11/25/2023,14.61379928
11/26/2023,15.36782946
11/27/2023,21.04548611
11/28/2023,15.35609319
11/29/2023,15.35313725
11/30/2023,13.17983539
12/1/2023,19.42996032
12/2/2023,137.0340996
12/3/2023,23.61313725
12/4/2023,21.12386091
12/5/2023,13.98095238
12/6/2023,13.27448276
12/7/2023,9.566556291
12/8/2023,35.56440129
12/9/2023,73.2
12/10/2023,58.27693798
12/11/2023,23.12865854
12/12/2023,140.3985965
12/13/2023,20.68473684
12/14/2023,19.07807018
12/15/2023,18.09766355
12/16/2023,15.06857143
12/17/2023,22.82997076
12/18/2023,25.76944444
12/19/2023,25.78571429
12/20/2023,20.72395833
12/21/2023,75.60980392
12/22/2023,11.2985348
12/23/2023,13.13932584
12/24/2023,15.18676976
12/25/2023,12.75823755
12/26/2023,16.08134058
12/27/2023,17.36521036
12/28/2023,15.40454545
12/29/2023,16.48573718
12/30/2023,15.52373188
12/31/2023,17.94395604
