diff_time,diff_time_minutes,diff_time_hours
14883,248.05,4.134166666666666
5464,91.06666666666666,1.5177777777777777
21619885,360331.4166666667,6005.523611111111
11464097,191068.28333333333,3184.4713888888887
8407,140.11666666666667,2.335277777777778
6133,102.21666666666667,1.7036111111111112
55797,929.95,15.499166666666667
46290,771.5,12.858333333333333
12662602,211043.36666666667,3517.3894444444445
6842859,114047.65,1900.7941666666666
14257434,237623.9,3960.3983333333335
14250953,237515.88333333333,3958.5980555555557
25923,432.05,7.200833333333334
24120,402.0,6.7
18526263,308771.05,5146.184166666667
10426559,173775.98333333334,2896.2663888888887
46815,780.25,13.004166666666666
33838,563.9666666666667,9.399444444444445
1453,24.216666666666665,0.4036111111111111
3593143,59885.71666666667,998.0952777777778
8471,141.18333333333334,2.3530555555555557
25978,432.96666666666664,7.216111111111111
7977,132.95,2.2158333333333333
243142,4052.366666666667,67.53944444444444
848145,14135.75,235.59583333333333
803924,13398.733333333334,223.31222222222223
7626,127.1,2.118333333333333
253,4.216666666666667,0.07027777777777777
1478902,24648.366666666665,410.80611111111114
1612611,26876.85,447.9475
160380,2673.0,44.55
8685754,144762.56666666668,2412.7094444444447
1271341,21189.016666666666,353.1502777777778
1246163,20769.383333333335,346.1563888888889
45718,761.9666666666667,12.699444444444444
50401,840.0166666666667,14.000277777777777
3498507,58308.45,971.8075
775638,12927.3,215.455
754760,12579.333333333334,209.65555555555557
9781413,163023.55,2717.0591666666664
21085223,351420.38333333336,5857.006388888889
12260734,204345.56666666668,3405.7594444444444
4399775,73329.58333333333,1222.1597222222222
54002,900.0333333333333,15.000555555555556
71098,1184.9666666666667,19.749444444444446
602,10.033333333333333,0.16722222222222222
1663403,27723.383333333335,462.0563888888889
1080888,18014.8,300.24666666666667
1066489,17774.816666666666,296.24694444444447
4916452,81940.86666666667,1365.681111111111
4597,76.61666666666666,1.2769444444444444
21927,365.45,6.090833333333333
24563,409.3833333333333,6.823055555555555
2453230,40887.166666666664,681.4527777777778
1529782,25496.366666666665,424.93944444444446
34340,572.3333333333334,9.53888888888889
500,8.333333333333334,0.1388888888888889
297201,4953.35,82.55583333333334
7118,118.63333333333334,1.9772222222222222
2379333,39655.55,660.9258333333333
37041,617.35,10.289166666666667
31862,531.0333333333333,8.850555555555555
634512,10575.2,176.25333333333333
35821,597.0166666666667,9.950277777777778
22324,372.06666666666666,6.2011111111111115
91802,1530.0333333333333,25.500555555555554
12787,213.11666666666667,3.5519444444444446
12246,204.1,3.401666666666667
57633,960.55,16.009166666666665
45034,750.5666666666667,12.509444444444444
1201425,20023.75,333.7291666666667
1448876,24147.933333333334,402.46555555555557
42979,716.3166666666667,11.938611111111111
23401,390.01666666666665,6.500277777777778
628,10.466666666666667,0.17444444444444446
1626,27.1,0.45166666666666666
289438,4823.966666666666,80.39944444444444
3307068,55117.8,918.63
23862,397.7,6.628333333333333
37902,631.7,10.528333333333334
41381,689.6833333333333,11.494722222222222
53265,887.75,14.795833333333333
7153723,119228.71666666666,1987.1452777777777
14251291,237521.51666666666,3958.6919444444443
9348493,155808.21666666667,2596.803611111111
3727562,62126.03333333333,1035.433888888889
4859753,80995.88333333333,1349.931388888889
13241590,220693.16666666666,3678.2194444444444
60840,1014.0,16.9
50220,837.0,13.95
56174,936.2333333333333,15.60388888888889
40335,672.25,11.204166666666667
5963332,99388.86666666667,1656.4811111111112
7286356,121439.26666666666,2023.9877777777779
6455430,107590.5,1793.175
3085,51.416666666666664,0.8569444444444444
1344156,22402.6,373.37666666666667
1353778,22562.966666666667,376.0494444444444
142747,2379.116666666667,39.651944444444446
107646,1794.1,29.901666666666667
4727866,78797.76666666666,1313.296111111111
892098,14868.3,247.805
877421,14623.683333333332,243.72805555555556
1972311,32871.85,547.8641666666666
8723540,145392.33333333334,2423.2055555555557
11604,193.4,3.223333333333333
4857,80.95,1.3491666666666666
11658,194.3,3.2383333333333333
6249,104.15,1.7358333333333333
66960,1116.0,18.6
46440,774.0,12.9
38625,643.75,10.729166666666666
38070,634.5,10.575
24566,409.43333333333334,6.823888888888889
7086,118.1,1.9683333333333333
6364,106.06666666666666,1.7677777777777777
74164,1236.0666666666666,20.601111111111113
66961,1116.0166666666667,18.600277777777777
58235,970.5833333333334,16.176388888888887
53195,886.5833333333334,14.776388888888889
59185,986.4166666666666,16.440277777777776
47702,795.0333333333333,13.250555555555556
25611,426.85,7.114166666666667
37440,624.0,10.4
73019,1216.9833333333333,20.283055555555556
7469595,124493.25,2074.8875
31856,530.9333333333333,8.848888888888888
26097,434.95,7.2491666666666665
5828,97.13333333333334,1.6188888888888888
3509,58.483333333333334,0.9747222222222223
786986,13116.433333333332,218.60722222222222
786455,13107.583333333334,218.4597222222222
112863,1881.05,31.350833333333334
7199,119.98333333333333,1.9997222222222222
7518383,125306.38333333333,2088.4397222222224
22614,376.9,6.281666666666666
39890,664.8333333333334,11.080555555555556
8748322,145805.36666666667,2430.0894444444443
9311983,155199.71666666667,2586.6619444444445
7790117,129835.28333333334,2163.921388888889
4448015,74133.58333333333,1235.5597222222223
8104,135.06666666666666,2.2511111111111113
2564,42.733333333333334,0.7122222222222222
19317,321.95,5.365833333333334
37318,621.9666666666667,10.366111111111111
16226999,270449.98333333334,4507.499722222222
4249,70.81666666666666,1.1802777777777778
18004,300.06666666666666,5.001111111111111
12142,202.36666666666667,3.372777777777778
42448,707.4666666666667,11.79111111111111
38670,644.5,10.741666666666667
20966,349.43333333333334,5.823888888888889
3434,57.233333333333334,0.9538888888888889
4026087,67101.45,1118.3575
