day,average_time_in_port
8/4/2023,512.2860806
8/5/2023,873.7315
8/6/2023,317.7538596
8/7/2023,419.5677083
8/8/2023,656.8811594
8/9/2023,688.3260563
8/10/2023,421.9094961
8/11/2023,450.5674074
8/12/2023,513.2693416
8/13/2023,627.8801852
8/14/2023,532.3181992
8/15/2023,611.1625926
8/16/2023,599.4623529
8/17/2023,733.1955556
8/18/2023,268.0618557
8/19/2023,555.2576779
8/20/2023,504.8056667
8/21/2023,410.7472222
8/22/2023,487.9565401
8/23/2023,1522.968824
8/24/2023,537.3283133
8/25/2023,1166.245437
8/26/2023,406.8714559
8/27/2023,883.9594444
8/28/2023,455.726087
8/29/2023,467.2237548
8/30/2023,524.7434783
8/31/2023,498.0210145
9/1/2023,602.6776557
9/2/2023,785.2523529
9/3/2023,483.196748
9/4/2023,515.6088889
9/5/2023,424.5532129
9/6/2023,1241.802721
9/7/2023,429.1727431
9/8/2023,510.5988889
9/9/2023,420.7961686
9/10/2023,740.4525641
9/11/2023,546.6326667
9/12/2023,767.2433761
9/13/2023,419.8815556
9/14/2023,547.643633
9/15/2023,557.182567
9/16/2023,568.9403101
9/17/2023,494.2591085
9/18/2023,441.7888258
9/19/2023,491.094246
9/20/2023,629.1452107
9/21/2023,659.3675
9/22/2023,525.2306911
9/23/2023,780.2205882
9/24/2023,765.9327839
9/25/2023,695.7380081
9/26/2023,480.689272
9/27/2023,627.9109259
9/28/2023,534.5551136
9/29/2023,1052.367222
9/30/2023,581.5850575
10/1/2023,821.7273504
10/2/2023,752.7562771
10/3/2023,510.1773148
10/4/2023,381.0615741
10/5/2023,481.8067901
10/6/2023,682.4825
10/7/2023,609.3747059
10/8/2023,558.9105556
10/9/2023,684.2762745
10/10/2023,1121.201899
10/11/2023,599.2485714
10/12/2023,1508.599034
10/13/2023,561.2713964
10/14/2023,438.8637387
10/15/2023,855.1289377
10/16/2023,579.5981061
10/17/2023,423.0627778
10/18/2023,604.9780392
10/19/2023,778.2992857
10/20/2023,532.8795833
10/21/2023,673.2252252
10/22/2023,774.7045045
10/23/2023,402.4934783
10/24/2023,530.7254167
10/25/2023,438.3051587
10/26/2023,669.6193089
10/27/2023,462.4441057
10/28/2023,746.9100402
10/29/2023,1152.158333
10/30/2023,451.6070588
10/31/2023,1016.270238
11/1/2023,1092.254167
11/2/2023,587.9434685
11/3/2023,542.4285388
11/4/2023,604.6259804
11/5/2023,686.5511261
11/6/2023,514.7418699
11/7/2023,640.3609195
