day,median_time_in_port,average_time_in_port
1/1/2023,8.966666667,26.36792929
1/2/2023,11.65,34.97807018
1/3/2023,19.8,78.87461538
1/4/2023,10.03333333,18.44481982
1/5/2023,10.48333333,24.21043771
1/6/2023,10.7,33.60634058
1/7/2023,11.15,35.52344961
1/8/2023,25.98333333,40.15479167
1/9/2023,12.75,113.5485232
1/10/2023,11.98333333,34.81030702
1/11/2023,12.06666667,36.21289683
1/12/2023,19.05,83.43070175
1/13/2023,12.2,26.25663082
1/14/2023,11,22.32676768
1/15/2023,11.01666667,33.96555556
1/16/2023,17.13333333,39.15520833
1/17/2023,10.15,23.28631579
1/18/2023,10.15,61.21651376
1/19/2023,10,11.0517134
1/20/2023,10.01666667,10.13380952
1/21/2023,10.5,18.3961165
1/22/2023,18.18333333,40.0822807
1/23/2023,10.85,26.09156379
1/24/2023,16.06666667,36.71792929
1/25/2023,19.45,99.41944444
1/26/2023,13.26666667,39.58647059
1/27/2023,10.33333333,23.74775281
1/28/2023,10.15,11.58426966
1/29/2023,8.85,43.46833333
1/30/2023,10.16666667,14.68381877
1/31/2023,9.983333333,19.80469256
2/1/2023,10.96666667,19.3476431
2/2/2023,10.85,25.91021505
2/3/2023,8.55,14.76793785
2/4/2023,10.21666667,17.23175439
2/5/2023,13.33333333,31.29099617
2/6/2023,14.98333333,29.56471861
2/7/2023,10.83333333,38.55689655
2/8/2023,10.16666667,15.55869565
2/9/2023,14.16666667,59.61745098
2/10/2023,10.6,36.66622222
2/11/2023,10.16666667,99.2476431
2/12/2023,10.5,69.86666667
2/13/2023,12.2,34.564
2/14/2023,19.8,239.2841667
2/15/2023,11.71666667,37.35981735
2/16/2023,11.38333333,28.00973597
2/17/2023,10.16666667,11.97003546
2/18/2023,10.11666667,11.95436137
2/19/2023,10.31666667,10.5578125
2/20/2023,10.18333333,10.95596491
2/21/2023,10.16666667,11.81353135
2/22/2023,7.7,29.13015873
2/23/2023,10.31666667,17.75249221
2/24/2023,10.03333333,14.39083333
2/25/2023,10.16666667,28.6504717
2/26/2023,10.01666667,15.00446735
2/27/2023,10.01666667,10.6084127
2/28/2023,10.15,27.7407197
3/1/2023,10.91666667,19.43315972
3/2/2023,10.16666667,16.36921769
3/3/2023,11.33333333,24.78120567
3/4/2023,10.15,16.14948454
3/5/2023,6.7,13.80581395
3/6/2023,10.16666667,10.77951389
3/7/2023,10.16666667,45.14280702
3/8/2023,10.13333333,16.223
3/9/2023,8.9,9.645833333
3/10/2023,10.05,12.97
3/11/2023,10.33333333,26.89433962
3/12/2023,10.48333333,12.49305556
3/13/2023,8.516666667,13.00756303
3/14/2023,9.866666667,18.71116505
3/15/2023,10.33333333,19.66996528
3/16/2023,10.18333333,15.68520249
3/17/2023,10.08333333,12.62135922
3/18/2023,10.15,11.25119048
3/19/2023,10.16666667,13.38651685
3/20/2023,10.5,102.5056338
3/21/2023,10.16666667,18.68908046
3/22/2023,10.16666667,15.86701389
3/23/2023,10.03333333,17.45
3/24/2023,10.36666667,14.51578947
3/25/2023,11.33333333,27.1
3/26/2023,10.33333333,15.95163399
3/27/2023,10.16666667,14.63722741
3/28/2023,10.01666667,12.31088435
3/29/2023,9.116666667,60.30542636
3/30/2023,10.46666667,18.94946237
3/31/2023,11.3,26.21229167
4/1/2023,15.08333333,41.83708333
4/2/2023,11.7,26.68179487
4/3/2023,11.03333333,27.84176955
4/4/2023,10.16666667,34.66129032
4/5/2023,10.48333333,21.96758242
4/6/2023,12.7,19.93218391
4/7/2023,11.35,25.37643678
4/8/2023,10.48333333,21.25
4/9/2023,10.48333333,17.6328479
4/10/2023,18.65,71.67560976
4/11/2023,11.68333333,21.38571429
4/12/2023,16.98333333,54.60075758
4/13/2023,17.3,36.23270833
4/14/2023,11.68333333,44.1408046
4/15/2023,10.66666667,24.13199405
4/16/2023,11.18333333,53.01277259
4/17/2023,12.05,32.60896226
4/18/2023,10.16666667,19.37485876
4/19/2023,10,15.81865672
4/20/2023,10.21666667,22.72157623
4/21/2023,8.366666667,12.70631579
4/22/2023,10,8.005421687
4/23/2023,10,9.616156463
