mmsi,Port_Country,sc_vessel,vessel_type,dt_pos_utc_aoi,dt_pos_utc_nonaoi,diff_nonaoi_aoi,latitude_aoi,longitude_aoi,latitude_nonaoi,longitude_nonaoi,movement
525109001,Jurong Island_Singapore,Indonesia,Tanker,2022-07-01 15:13:19,2022-07-01 14:29:44,2615,1.20018833,103.85572167,1.23833333,103.935,Masuk
525109001,Jurong Island_Singapore,Indonesia,Tanker,2022-07-01 16:14:16,2022-07-01 14:29:44,6272,1.14881667,103.7469,1.23833333,103.935,Masuk
525111005,Pulau Bukom_Singapore,Indonesia,Tanker,2022-03-29 17:22:40,2022-03-27 23:18:49,151431,1.29183333,103.7245,1.26066667,103.96916667,Masuk
525111005,Pulau Bukom_Singapore,Indonesia,Tanker,2022-03-30 20:06:48,2022-03-27 23:18:49,247679,1.22466667,103.797,1.26066667,103.96916667,Masuk
525119006,Ryotu Ko_Japan,Indonesia,Cargo,2022-09-05 18:18:34,2022-08-16 04:08:34,1779000,38.00002167,138.64050667,37.88702333,138.67632833,Masuk
525119006,Ryotu Ko_Japan,Indonesia,Cargo,2022-09-06 04:55:12,2022-08-16 04:08:34,1817198,38.02452,138.67495,37.88702333,138.67632833,Masuk
525119107,Jurong Island_Singapore,Indonesia,Tanker,2022-11-06 23:00:43,2022-11-06 10:55:17,43526,1.232725,103.79717333,1.15691,103.93627333,Masuk
525119107,Jurong Island_Singapore,Indonesia,Tanker,2022-11-06 23:00:43,2022-11-06 06:43:36,58627,1.232725,103.79717333,1.15666667,103.93666667,Masuk
525119127,Pulau Sebarok_Singapore,Indonesia,Tanker,2022-12-18 10:28:15,2022-12-17 19:31:54,53781,1.15833333,103.80666667,1.27,103.59666667,Masuk
525119127,Pulau Sebarok_Singapore,Indonesia,Tanker,2022-12-18 10:28:15,2022-12-17 15:05:59,69736,1.15833333,103.80666667,1.26972833,103.59520333,Masuk
525119158,Johor_Malaysia,Indonesia,Tanker,2022-09-12 09:29:48,2022-09-11 13:06:30,73398,1.43362333,103.900195,1.338725,104.10202333,Masuk
525119158,Johor_Malaysia,Indonesia,Tanker,2022-09-22 06:40:10,2022-09-21 10:16:50,73400,1.43309667,103.90281,1.32469167,104.10006167,Masuk
525119161,Kattupalli Port_India,Indonesia,Cargo,2022-09-21 22:24:07,2022-09-21 04:03:51,66016,13.31318333,80.34956667,13.10743333,80.29953333,Masuk
525121022,Tanjung Pelepas_Malaysia,Indonesia,Tanker,2022-02-08 12:06:27,2022-02-08 11:21:25,2702,1.19666667,103.60666667,1.14666667,103.73,Masuk
525121022,Tanjung Pelepas_Malaysia,Indonesia,Tanker,2022-02-08 13:12:24,2022-02-08 11:21:25,6659,1.255,103.40166667,1.14666667,103.73,Masuk
525300146,Jurong Island_Singapore,Indonesia,Cargo,2022-02-27 12:57:34,2022-02-27 00:31:42,44752,1.08275,103.88403333,1.0811,103.89555,Masuk
525300146,Jurong Island_Singapore,Indonesia,Cargo,2022-02-27 15:46:24,2022-02-27 00:31:42,54882,1.08286667,103.88296667,1.0811,103.89555,Masuk
525500952,Tanjung Pelepas_Malaysia,Indonesia,Tanker,2022-03-05 22:23:59,2022-02-03 18:51:13,2604766,1.18985333,103.37490667,1.14684833,103.74833333,Masuk
525003161,Bandar Seri Begawan_Brunei,Indonesia,Other,2022-12-22 04:59:40,2022-12-14 15:32:23,653237,5.07833333,115.08,5.095,115.07166667,Masuk
525003273,Pulau Sebarok_Singapore,Indonesia,Cargo,2022-10-26 12:03:33,2022-10-25 20:11:48,57105,1.16251667,103.94523833,1.17129,104.00079,Masuk
525003273,Pulau Sebarok_Singapore,Indonesia,Cargo,2022-10-26 16:42:32,2022-10-25 20:11:48,73844,1.16263667,103.94539667,1.17129,104.00079,Masuk
525009077,Port Dickson_Malaysia,Indonesia,Tanker,2022-08-10 02:47:22,2022-03-14 08:18:14,12853748,2.4471,101.6668,2.33125833,101.816445,Masuk
525009096,Keppel - (East Singapore)_Singapore,Indonesia,Passenger,2022-04-16 03:53:14,2022-02-08 07:17:56,5776518,1.16201667,103.83279333,1.07466333,103.70924667,Masuk
525009349,Pulau Sebarok_Singapore,Indonesia,Cargo,2022-12-13 18:10:55,2022-12-13 00:53:24,62251,1.18333333,103.96,1.20953167,103.59986,Masuk
525009349,Pulau Sebarok_Singapore,Indonesia,Cargo,2022-12-14 00:34:54,2022-12-13 00:53:24,85290,1.18333333,103.96,1.20953167,103.59986,Masuk
