day,average_time_in_port
1/1/2022,531.593738
1/2/2022,400.3313364
1/3/2022,425.1904538
1/4/2022,531.8061621
1/5/2022,579.4719212
1/6/2022,362.7142001
1/7/2022,459.4323671
1/8/2022,486.5702186
1/9/2022,475.9865079
1/10/2022,473.690103
1/11/2022,469.5662921
1/12/2022,455.4836471
1/13/2022,517.3341544
1/14/2022,422.3051606
1/15/2022,454.108226
1/16/2022,416.4806488
1/17/2022,462.5128582
1/18/2022,494.0855454
1/19/2022,463.055739
1/20/2022,574.6290094
1/21/2022,535.3439542
1/22/2022,571.4112772
1/23/2022,553.1440628
1/24/2022,541.7163616
1/25/2022,563.4520286
1/26/2022,607.9705857
1/27/2022,606.5384167
1/28/2022,493.5224065
1/29/2022,586.6740079
1/30/2022,421.3014111
1/31/2022,541.0747931
2/1/2022,469.8257767
2/2/2022,398.4314402
2/3/2022,503.9878115
2/4/2022,535.296066
2/5/2022,552.4134041
2/6/2022,492.7444704
2/7/2022,433.6012821
2/8/2022,610.9398345
2/9/2022,460.0198297
2/10/2022,495.9037681
2/11/2022,552.2597002
2/12/2022,465.7221097
2/13/2022,424.5467105
2/14/2022,424.0289574
2/15/2022,596.8814583
2/16/2022,454.5770408
2/17/2022,393.2400568
2/18/2022,463.3847889
2/19/2022,525.7791756
2/20/2022,524.6601253
2/21/2022,427.2980645
2/22/2022,365.7253982
2/23/2022,452.6069385
2/24/2022,517.071756
2/25/2022,572.5595663
2/26/2022,475.1557304
2/27/2022,537.2105585
2/28/2022,478.9882378
3/1/2022,467.5421284
3/2/2022,536.631742
3/3/2022,461.3464455
3/4/2022,552.0724959
3/5/2022,475.3027542
3/6/2022,550.9703488
3/7/2022,585.3085926
3/8/2022,617.9827193
3/9/2022,515.2936822
3/10/2022,538.7059859
3/11/2022,511.7795168
3/12/2022,475.976494
3/13/2022,421.2273741
3/14/2022,573.7726681
3/15/2022,544.2154321
3/16/2022,469.864205
3/17/2022,529.9110613
3/18/2022,485.7718059
3/19/2022,443.902795
3/20/2022,450.3058065
3/21/2022,421.7071575
3/22/2022,484.2652954
3/23/2022,578.7478228
3/24/2022,532.4576078
3/25/2022,546.9495726
3/26/2022,506.8349094
3/27/2022,597.3980037
3/28/2022,578.0538628
3/29/2022,499.8425185
3/30/2022,511.9026068
3/31/2022,509.8384362
4/1/2022,495.5295775
4/2/2022,615.432131
4/3/2022,619.8633057
4/4/2022,612.1032787
4/5/2022,630.7264167
4/6/2022,490.3998152
4/7/2022,577.3082212
4/8/2022,621.3167081
4/9/2022,575.0891304
4/10/2022,500.5766599
4/11/2022,578.8411765
4/12/2022,636.1443262
4/13/2022,638.5182432
4/14/2022,676.2380054
4/15/2022,555.8993386
4/16/2022,553.4114387
4/17/2022,538.7601392
4/18/2022,557.51833
4/19/2022,581.8945833
4/20/2022,509.3171648
4/21/2022,588.3887441
4/22/2022,569.563012
4/23/2022,549.0627765
4/24/2022,766.4456265
4/25/2022,655.3406028
4/26/2022,500.0680342
4/27/2022,559.363625
4/28/2022,497.6298997
4/29/2022,449.3200928
4/30/2022,354.96628
5/1/2022,512.2622832
5/2/2022,420.5762557
5/3/2022,419.7475389
5/4/2022,389.72457
5/5/2022,406.0952107
5/6/2022,450.7305821
5/7/2022,401.17433
5/8/2022,438.1765401
5/9/2022,385.9692308
5/10/2022,548.4236111
5/11/2022,625.0072695
5/12/2022,805.7919192
5/13/2022,569.9518152
5/14/2022,489.8968776
5/15/2022,484.2298316
5/16/2022,389.9081974
5/17/2022,403.4791463
5/18/2022,542.8858573
5/19/2022,511.4213768
5/20/2022,496.8939683
5/21/2022,543.5991319
5/22/2022,524.9751024
5/23/2022,520.8234501
5/24/2022,506.018099
5/25/2022,488.6909722
5/26/2022,533.1863558
5/27/2022,508.6162075
5/28/2022,497.8134983
5/29/2022,501.8767003
5/30/2022,475.04801
5/31/2022,473.5351501
6/1/2022,472.1378222
6/2/2022,494.9341103
6/3/2022,477.8217374
6/4/2022,540.9172855
6/5/2022,441.9478372
6/6/2022,445.4447101
6/7/2022,535.8805471
6/8/2022,627.3608486
6/9/2022,482.6561927
6/10/2022,508.5739387
6/11/2022,562.6793561
6/12/2022,522.0873684
6/13/2022,458.0678066
6/14/2022,466.2857246
6/15/2022,632.0584715
6/16/2022,570.5257493
6/17/2022,647.044316
6/18/2022,618.7810488
6/19/2022,458.1716064
6/20/2022,589.9778392
6/21/2022,592.454625
6/22/2022,469.3306517
6/23/2022,482.2592183
6/24/2022,475.4068123
6/25/2022,589.1587578
6/26/2022,686.7587844
6/27/2022,589.2188
6/28/2022,512.3733171
6/29/2022,549.2436674
6/30/2022,435.2647921
7/1/2022,568.3040562
7/2/2022,548.2337912
7/3/2022,582.8293514
7/4/2022,543.4595905
7/5/2022,468.9433962
7/6/2022,536.5024665
7/7/2022,457.4495652
7/8/2022,427.2841424
7/9/2022,548.0293839
7/10/2022,516.6922983
7/11/2022,415.830157
7/12/2022,488.7280204
7/13/2022,503.2094318
7/14/2022,464.1431871
7/15/2022,537.2611359
7/16/2022,544.8113793
7/17/2022,528.9280849
7/18/2022,485.7860119
7/19/2022,425.27319
7/20/2022,405.3250296
7/21/2022,507.8217497
7/22/2022,465.5531727
7/23/2022,590.764625
7/24/2022,538.8945439
7/25/2022,472.0370903
7/26/2022,512.690404
7/27/2022,439.4628398
7/28/2022,538.0666253
7/29/2022,533.7368557
7/30/2022,591.4450094
7/31/2022,579.4495859
8/1/2022,560.6983449
8/2/2022,516.0858709
8/3/2022,514.1302871
8/4/2022,483.9213573
8/5/2022,428.650813
8/6/2022,465.6246047
8/7/2022,435.8361111
8/8/2022,540.0764087
8/9/2022,468.0804724
8/10/2022,408.5512387
8/11/2022,419.7968898
8/12/2022,415.3650442
8/13/2022,478.4517241
8/14/2022,397.5410488
8/15/2022,458.5734149
8/16/2022,421.067027
8/17/2022,438.7447049
8/18/2022,440.823041
8/19/2022,452.3191812
8/20/2022,446.2579798
8/21/2022,466.7991281
8/22/2022,395.8747029
8/23/2022,512.2530719
8/24/2022,426.1716327
8/25/2022,454.515293
8/26/2022,396.8402674
8/27/2022,417.1484265
8/28/2022,452.4149016
8/29/2022,474.1755712
8/30/2022,434.6418113
8/31/2022,452.426288
9/1/2022,467.2934059
9/2/2022,432.7485303
9/3/2022,425.925343
9/4/2022,460.1816327
9/5/2022,454.8088456
9/6/2022,433.3077513
9/7/2022,434.4399892
9/8/2022,456.0268265
9/9/2022,418.743046
9/10/2022,365.8130798
