day,median_time_in_port,average_time_in_port
1/1/2022,63,531.593738
1/2/2022,37.8,400.3313364
1/3/2022,35.01666667,425.1904538
1/4/2022,72.16666667,531.8061621
1/5/2022,70.65,579.4719212
1/6/2022,26.65,362.7142001
1/7/2022,48.01666667,459.4323671
1/8/2022,33.23333333,486.5702186
1/9/2022,64.7,475.9865079
1/10/2022,41.96666667,473.690103
1/11/2022,59.96666667,469.5662921
1/12/2022,48.01666667,455.4836471
1/13/2022,69.06666667,517.3341544
1/14/2022,35.13333333,422.3051606
1/15/2022,30.63333333,454.108226
1/16/2022,32.58333333,416.4806488
1/17/2022,31.81666667,462.5128582
1/18/2022,30.33333333,494.0855454
1/19/2022,36.05,463.055739
1/20/2022,81.65,574.6290094
1/21/2022,80.91666667,535.3439542
1/22/2022,78.25,571.4112772
1/23/2022,73.26666667,553.1440628
1/24/2022,72,541.7163616
1/25/2022,77.95,563.4520286
1/26/2022,57.86666667,607.9705857
1/27/2022,71.33333333,606.5384167
1/28/2022,66.01666667,493.5224065
1/29/2022,80.51666667,586.6740079
1/30/2022,40.3,421.3014111
1/31/2022,39,541.0747931
2/1/2022,52.98333333,469.8257767
2/2/2022,30.31666667,398.4314402
2/3/2022,37.85,503.9878115
2/4/2022,67.16666667,535.296066
2/5/2022,50.66666667,552.4134041
2/6/2022,39.51666667,492.7444704
2/7/2022,30.13333333,433.6012821
2/8/2022,77.96666667,610.9398345
2/9/2022,32.31666667,460.0198297
2/10/2022,35.35,495.9037681
2/11/2022,87.35,552.2597002
2/12/2022,43.31666667,465.7221097
2/13/2022,36,424.5467105
2/14/2022,33.01666667,424.0289574
2/15/2022,94.83333333,596.8814583
2/16/2022,32.96666667,454.5770408
2/17/2022,30.35,393.2400568
2/18/2022,52.01666667,463.3847889
2/19/2022,36.03333333,525.7791756
2/20/2022,32.93333333,524.6601253
2/21/2022,32.5,427.2980645
2/22/2022,24.06666667,365.7253982
2/23/2022,39.45,452.6069385
2/24/2022,62.81666667,517.071756
2/25/2022,81,572.5595663
2/26/2022,82.55,475.1557304
2/27/2022,35.98333333,537.2105585
2/28/2022,40.31666667,478.9882378
3/1/2022,44.73333333,467.5421284
3/2/2022,47.88333333,536.631742
3/3/2022,40.53333333,461.3464455
3/4/2022,84.38333333,552.0724959
3/5/2022,42.78333333,475.3027542
3/6/2022,41.16666667,550.9703488
3/7/2022,89.53333333,585.3085926
3/8/2022,89.96666667,617.9827193
3/9/2022,72.1,515.2936822
3/10/2022,78.01666667,538.7059859
3/11/2022,44.28333333,511.7795168
3/12/2022,27.36666667,475.976494
3/13/2022,32,421.2273741
3/14/2022,59.96666667,573.7726681
3/15/2022,60.01666667,544.2154321
3/16/2022,42.46666667,469.864205
3/17/2022,44.61666667,529.9110613
3/18/2022,36.5,485.7718059
3/19/2022,32,443.902795
3/20/2022,30.51666667,450.3058065
3/21/2022,30.18333333,421.7071575
