day,median_time_in_port,average_time_in_port
6/4/2022,40.83333333,746.2388598
6/5/2022,40.48333333,717.1556538
6/6/2022,44,792.7213237
6/7/2022,43.08333333,696.3076379
6/8/2022,40.2,683.386121
6/9/2022,40.51666667,758.706064
6/10/2022,41.33333333,858.5817131
6/11/2022,38.96666667,644.8507329
6/12/2022,42.56666667,897.8885599
6/13/2022,45.55,789.715121
6/14/2022,40.35,829.4692879
6/15/2022,40.3,928.7993353
6/16/2022,45.01666667,833.1509036
6/17/2022,41,947.7653431
6/18/2022,45.13333333,844.1889071
6/19/2022,40.65,899.8287611
6/20/2022,41.51666667,758.9573301
6/21/2022,35.96666667,831.336927
6/22/2022,40.31666667,894.0180067
6/23/2022,41.9,654.1636109
6/24/2022,38.18333333,847.9626834
6/25/2022,41.86666667,791.2476594
6/26/2022,36.03333333,885.0786932
6/27/2022,44,835.6396568
6/28/2022,40.48333333,1103.056972
6/29/2022,48.65,790.4829144
6/30/2022,40.66666667,810.6145388
7/1/2022,44.06666667,743.8794726
7/2/2022,40.9,690.6489598
7/3/2022,33.23333333,829.9202347
7/4/2022,44.03333333,671.8626995
7/5/2022,40.38333333,774.5902082
7/6/2022,45.63333333,714.4518018
7/7/2022,40.65,1034.31607
7/8/2022,53.73333333,1233.162708
7/9/2022,52.15,1004.052065
7/10/2022,36.38333333,665.5364936
7/11/2022,37.16666667,779.4779465
7/12/2022,35.55,973.7843204
7/13/2022,40.31666667,1020.031939
7/14/2022,38.68333333,862.8140728
7/15/2022,40.66666667,684.4205655
7/16/2022,40.3,707.9448593
7/17/2022,45.06666667,746.5024767
7/18/2022,40.46666667,777.6638654
7/19/2022,51.81666667,826.417845
7/20/2022,47.01666667,817.6682377
7/21/2022,45,843.9671804
7/22/2022,35.35,732.9281316
7/23/2022,38.98333333,642.1474887
7/24/2022,30.26666667,718.3524004
7/25/2022,35.66666667,807.0184566
7/26/2022,39.03333333,896.8346342
7/27/2022,49.55,798.1465996
7/28/2022,39.01666667,904.9107883
7/29/2022,40.53333333,826.836127
7/30/2022,34.08333333,902.7154017
7/31/2022,41.95,943.6001346
8/1/2022,41.46666667,870.4997337
8/2/2022,38.85,983.4820264
8/3/2022,33.3,792.2649433
8/4/2022,40.56666667,708.6648343
8/5/2022,47,708.1913216
8/6/2022,43.51666667,834.2249478
8/7/2022,40.46666667,684.5457726
8/8/2022,48.03333333,678.6197559
8/9/2022,49.13333333,858.4737756
8/10/2022,58.36666667,825.5273964
8/11/2022,49.2,770.4460771
8/12/2022,47.81666667,906.9392053
8/13/2022,47.91666667,835.4824386
8/14/2022,46.5,948.3040675
8/15/2022,34.53333333,648.905489
8/16/2022,36.35,976.9299565
8/17/2022,36,727.3366171
8/18/2022,30.33333333,602.4092382
8/19/2022,39.91666667,665.93082
8/20/2022,37.58333333,814.5198907
8/21/2022,37.33333333,773.7692614
8/22/2022,33.93333333,805.2892566
8/23/2022,39.1,575.0241217
8/24/2022,42.98333333,749.9644293
8/25/2022,41.35,576.5753549
8/26/2022,49.3,832.5877976
8/27/2022,47.98333333,909.2060953
8/28/2022,46.91666667,865.4845845
8/29/2022,39.01666667,765.6739351
8/30/2022,36.96666667,782.2297297
8/31/2022,42.4,523.5633591
9/1/2022,39.55,719.556269
9/2/2022,36.73333333,553.6650794
9/3/2022,34.36666667,861.5219642
9/4/2022,32.3,658.147638
9/5/2022,29.9,559.4458656
9/6/2022,30.48333333,648.3476655
9/7/2022,32.96666667,624.2138207
9/8/2022,33.33333333,619.1152378
9/9/2022,37.81666667,705.5392652
9/10/2022,30.5,598.4495534
9/11/2022,46.33333333,775.369572
9/12/2022,50.2,867.6201369
9/13/2022,51,680.8543509
9/14/2022,48.61666667,815.9118648
9/15/2022,40.31666667,633.2525728
9/16/2022,40.35,679.4815366
9/17/2022,43.66666667,885.2112125
9/18/2022,42.33333333,756.5223419
9/19/2022,38.86666667,621.5087748
9/20/2022,34.43333333,617.504821
9/21/2022,40.33333333,701.0067576
9/22/2022,46,850.2488375
9/23/2022,40.31666667,799.0868421
9/24/2022,47.96666667,806.5637848
9/25/2022,40.48333333,781.7447819
9/26/2022,36.63333333,695.9106675
9/27/2022,40.53333333,1097.534275
9/28/2022,40.33333333,711.7008739
9/29/2022,42.06666667,760.9708471
9/30/2022,42.08333333,744.2146436
10/1/2022,38.81666667,674.5929764
10/2/2022,50.3,927.3368898
10/3/2022,39.33333333,551.8973713
10/4/2022,51.83333333,702.9244829
10/5/2022,47.21666667,835.5528224
10/6/2022,50.48333333,727.2061345
10/7/2022,40.5,732.9453967
10/8/2022,45.83333333,688.0034118
10/9/2022,35.83333333,763.9424506
10/10/2022,38.91666667,764.3582798
10/11/2022,36.03333333,917.7194362
10/12/2022,40.2,700.5346559
10/13/2022,33.56666667,508.1868363
10/14/2022,40.48333333,710.9004047
10/15/2022,47.96666667,744.6659876
10/16/2022,50.98333333,774.8215378
10/17/2022,40.33333333,783.7443077
10/18/2022,44.81666667,679.1624219
10/19/2022,38.48333333,761.0791243
10/20/2022,37.91666667,826.0817548
10/21/2022,42.03333333,822.1810647
10/22/2022,42.48333333,817.8017245
10/23/2022,40.65,720.8249221
10/24/2022,35.98333333,785.6107805
10/25/2022,36,759.5981098
10/26/2022,46.35,774.4296748
10/27/2022,42,864.1344563
10/28/2022,45,764.1357221
10/29/2022,35.43333333,650.3134801
10/30/2022,40.51666667,983.9256489
10/31/2022,33.15,735.3561045
11/1/2022,33.58333333,684.5283723
11/2/2022,34.8,838.5578741
11/3/2022,33.1,1141.640799
11/4/2022,36.23333333,994.4232735
11/5/2022,50.65,1304.305642
11/6/2022,38.75,1239.259433
11/7/2022,41.1,1944.010187
11/8/2022,48.83333333,3390.402902
11/9/2022,79.85,1519.423828
11/10/2022,42.03333333,723.183834
11/11/2022,47.06666667,732.693148
11/12/2022,38.7,661.5380375
11/13/2022,45.08333333,681.9123229
11/14/2022,40.66666667,884.1344969
11/15/2022,50.96666667,862.1510481
11/16/2022,40.46666667,649.1254159
11/17/2022,41.01666667,806.7238808
11/18/2022,43.88333333,746.0792366
11/19/2022,40.25,608.9111489
11/20/2022,33,591.3723783
11/21/2022,34.35,556.5306941
11/22/2022,40.35,631.3645714
11/23/2022,46.15,707.2929421
11/24/2022,46.33333333,792.4839767
11/25/2022,40.26666667,543.2495972
11/26/2022,50.3,673.9149282
11/27/2022,48.1,580.2714145
11/28/2022,51.08333333,668.992358
11/29/2022,45.83333333,625.2128502
11/30/2022,42.36666667,632.5354726
12/1/2022,50.35,643.7719109
12/2/2022,50.65,683.6672336
12/3/2022,49.41666667,676.7930443
12/4/2022,40.66666667,551.7056094
12/5/2022,52.2,626.4720138
12/6/2022,45.86666667,619.4727599
12/7/2022,43.5,618.9552559
12/8/2022,49.98333333,608.5723387
12/9/2022,40.31666667,563.8017675
12/10/2022,50.31666667,536.7198473
12/11/2022,40.35,493.8333125
12/12/2022,44.06666667,562.33245
12/13/2022,38.95,539.1082929
12/14/2022,36,440.9049179
12/15/2022,38.98333333,388.6235982
12/16/2022,40.35,333.1378766
12/17/2022,40.18333333,352.252423
12/18/2022,35.73333333,307.6551155
