mmsi,Port,dt_pos_utc,fc_vessel,sc_vessel,vessel_type,ns_vessel,draught,position,latitude,longitude,masuk_pelabuhan,keluar_pelabuhan
477749600,Vung Tau,2022-09-01 09:09:46,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 09:12:48,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Vung Tau,2022-09-01 09:12:48,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 09:14:32,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19342167,107.03922,-,-
477749600,Vung Tau,2022-09-01 09:14:32,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19342167,107.03922,-,-
477749600,Mui Vung Tau,2022-09-01 09:15:43,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Vung Tau,2022-09-01 09:15:43,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 09:18:07,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19339833,107.03925167,-,-
477749600,Vung Tau,2022-09-01 09:18:07,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19339833,107.03925167,-,-
477749600,Mui Vung Tau,2022-09-01 09:20:16,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19340167,107.039275,-,-
477749600,Vung Tau,2022-09-01 09:20:16,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19340167,107.039275,-,-
477749600,Mui Vung Tau,2022-09-01 09:24:44,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Vung Tau,2022-09-01 09:24:44,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 09:26:06,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19343667,107.03928,-,-
477749600,Vung Tau,2022-09-01 09:26:06,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19343667,107.03928,-,-
477749600,Mui Vung Tau,2022-09-01 09:27:47,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Vung Tau,2022-09-01 09:27:47,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 09:30:47,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Vung Tau,2022-09-01 09:30:47,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 09:33:46,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Vung Tau,2022-09-01 09:33:46,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 09:36:42,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Vung Tau,2022-09-01 09:36:42,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 09:37:45,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19359167,107.03926833,-,-
477749600,Vung Tau,2022-09-01 09:37:45,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19359167,107.03926833,-,-
477749600,Mui Vung Tau,2022-09-01 09:40:02,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19361167,107.03927667,-,-
477749600,Vung Tau,2022-09-01 09:40:02,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19361167,107.03927667,-,-
477749600,Mui Vung Tau,2022-09-01 09:42:42,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Vung Tau,2022-09-01 09:42:42,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 09:45:46,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Vung Tau,2022-09-01 09:45:46,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 09:48:47,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Vung Tau,2022-09-01 09:48:47,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 09:50:33,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19371333,107.03934833,-,-
477749600,Vung Tau,2022-09-01 09:50:33,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19371333,107.03934833,-,-
477749600,Mui Vung Tau,2022-09-01 09:51:45,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Vung Tau,2022-09-01 09:51:45,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 09:54:45,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Vung Tau,2022-09-01 09:54:45,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 10:00:08,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19389167,107.03954167,-,-
477749600,Vung Tau,2022-09-01 10:00:08,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19389167,107.03954167,-,-
477749600,Mui Vung Tau,2022-09-01 10:02:32,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.193955,107.039565,-,-
477749600,Vung Tau,2022-09-01 10:02:32,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.193955,107.039565,-,-
477749600,Mui Vung Tau,2022-09-01 10:03:43,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Vung Tau,2022-09-01 10:03:43,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 10:06:43,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Vung Tau,2022-09-01 10:06:43,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 10:10:08,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19414667,107.03975,-,-
477749600,Vung Tau,2022-09-01 10:10:08,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19414667,107.03975,-,-
477749600,Mui Vung Tau,2022-09-01 10:13:18,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19424333,107.03984167,-,-
477749600,Vung Tau,2022-09-01 10:13:18,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19424333,107.03984167,-,-
477749600,Mui Vung Tau,2022-09-01 10:15:43,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Vung Tau,2022-09-01 10:15:43,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.03833333,-,-
477749600,Mui Vung Tau,2022-09-01 10:18:44,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.04,-,-
477749600,Vung Tau,2022-09-01 10:18:44,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.04,-,-
477749600,Mui Vung Tau,2022-09-01 10:20:10,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19444,107.04010167,-,-
477749600,Vung Tau,2022-09-01 10:20:10,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19444,107.04010167,-,-
477749600,Mui Vung Tau,2022-09-01 10:21:44,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.04,-,-
477749600,Vung Tau,2022-09-01 10:21:44,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.04,-,-
477749600,Mui Vung Tau,2022-09-01 10:24:48,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.04,-,-
477749600,Vung Tau,2022-09-01 10:24:48,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.04,-,-
477749600,Mui Vung Tau,2022-09-01 10:27:44,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.04,-,-
477749600,Vung Tau,2022-09-01 10:27:44,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.04,-,-
477749600,Mui Vung Tau,2022-09-01 10:30:12,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19469667,107.04068,-,-
477749600,Vung Tau,2022-09-01 10:30:12,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19469667,107.04068,-,-
477749600,Mui Vung Tau,2022-09-01 10:33:49,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.04,-,-
477749600,Vung Tau,2022-09-01 10:33:49,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.04,-,-
477749600,Mui Vung Tau,2022-09-01 10:36:46,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.04,-,-
477749600,Vung Tau,2022-09-01 10:36:46,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19333333,107.04,-,-
477749600,Mui Vung Tau,2022-09-01 10:38:34,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.194825,107.04132333,-,-
477749600,Vung Tau,2022-09-01 10:38:34,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.194825,107.04132333,-,-
477749600,Mui Vung Tau,2022-09-01 10:40:13,Hong Kong,Asing,Cargo,At Anchor,14.0,in port,10.19483333,107.04148,-,-
