nav_status,count
              Moored,223746854
Restricted Manoeu...,13688975
             Aground,410920
         Not Defined,28277882
   Not Under Command,13572253
  Engaged In Fishing,4678671
    Underway Sailing,40991570
             Unknown,65204319
           At Anchor,257546580
Under Way Using E...,1121412748
