day,average_time_in_port
8/4/2022,1436.913194
8/5/2022,1900.973522
8/6/2022,1869.369975
8/7/2022,1480.952861
8/8/2022,847.6421333
8/9/2022,801.6166667
8/10/2022,1066.857258
8/11/2022,953.4018229
8/12/2022,1492.285388
8/13/2022,4324.571583
8/14/2022,1412.334483
8/15/2022,1347.779587
8/16/2022,1440.188462
8/17/2022,2788.145143
8/18/2022,1637.625912
8/19/2022,950.6205128
8/20/2022,916.4872685
8/21/2022,1502.138322
8/22/2022,1007.807494
8/23/2022,1048.802051
8/24/2022,916.1252825
8/25/2022,675.252
8/26/2022,801.5524306
8/27/2022,1983.062121
8/28/2022,1263.473113
8/29/2022,805.822601
8/30/2022,1252.619291
8/31/2022,1914.644531
9/1/2022,1591.146038
9/2/2022,1547.275897
9/3/2022,1066.270717
9/4/2022,960.2015278
9/5/2022,1139.144488
9/6/2022,1445.906475
9/7/2022,717.097416
9/8/2022,1588.323114
9/9/2022,1578.093841
9/10/2022,944.1947581
9/11/2022,1724.366282
9/12/2022,2260.4743
9/13/2022,1080.83693
9/14/2022,1077.402246
9/15/2022,1092.057463
9/16/2022,924.5264706
9/17/2022,1312.51631
9/18/2022,1149.221711
9/19/2022,1590.604522
9/20/2022,778.0418981
9/21/2022,575.12301
9/22/2022,2299.981387
9/23/2022,887.6454861
9/24/2022,1291.567754
9/25/2022,787.7621891
9/26/2022,781.7310078
9/27/2022,1246.475126
9/28/2022,1317.153109
9/29/2022,906.6314421
9/30/2022,1062.761886
10/1/2022,1672.98442
10/2/2022,726.9779133
10/3/2022,941.6764444
10/4/2022,1221.109524
10/5/2022,1266.820581
10/6/2022,1014.033681
10/7/2022,1107.725069
10/8/2022,1215.472177
10/9/2022,667.0554645
10/10/2022,1837.662538
10/11/2022,1288.288889
10/12/2022,1004.10123
10/13/2022,1077.171756
10/14/2022,913.7317585
10/15/2022,882.9414868
10/16/2022,1130.685816
10/17/2022,1724.256794
10/18/2022,828.3473039
10/19/2022,1310.068287
10/20/2022,2422.945739
10/21/2022,2082.081078
10/22/2022,1302.708983
10/23/2022,1876.254617
10/24/2022,1666.449449
10/25/2022,707.0826797
10/26/2022,1164.211064
10/27/2022,1606.426302
10/28/2022,892.431137
10/29/2022,1215.590856
10/30/2022,1026.087984
10/31/2022,1073.448681
11/1/2022,1384.657106
11/2/2022,2053.882957
11/3/2022,1335.528295
11/4/2022,1853.942328
11/5/2022,1582.007197
11/6/2022,1839.999167
11/7/2022,1368.319167
11/8/2022,7278.12197
11/19/2022,3042.04641
11/20/2022,1959.431682
11/21/2022,746.1037037
11/22/2022,1757.484677
11/23/2022,1432.859153
11/24/2022,1577.201149
11/25/2022,874.9978964
11/26/2022,866.547019
11/27/2022,1109.564286
11/28/2022,712.2121212
11/29/2022,1336.820256
11/30/2022,1250.48971
12/1/2022,984.9416031
12/2/2022,724.9772727
12/3/2022,1780.132812
12/4/2022,965.0990956
12/5/2022,1309.621542
12/6/2022,1191.401481
12/7/2022,1402.896867
12/8/2022,1384.889535
12/9/2022,819.6252222
12/10/2022,818.3662907
12/11/2022,838.702518
12/12/2022,1489.77988
12/13/2022,1414.318788
12/14/2022,1032.795896
12/15/2022,1020.194366
12/16/2022,824.8021628
12/17/2022,921.8498851
12/18/2022,867.6820707
12/19/2022,1088.481753
12/20/2022,1187.672133
12/21/2022,899.1622137
12/22/2022,1097.999645
12/23/2022,875.5662162
12/24/2022,611.2094828
12/25/2022,580.3139303
12/26/2022,826.5703008
12/27/2022,632.4162534
12/28/2022,514.5353933
12/29/2022,341.4410256
12/30/2022,293.0172673
12/31/2022,275.7385965
