bulan,jumlah_record_per_bulan,jumlah_record_per_bulan_1persen
January,708861173,7092365
February,652348211,6523538
March,748942451,7495299
April,751292713,7515300
May,768489481,7688979
June,770268067,7702391
July,818121481,8180319
August,795930405,7956939
September,766432785,7664096
October,769321662,7692290
November,615345777,6152686
December,732984416,7332271
