summary,mmsi,imo,nav_status_code,vessel_type_code,flag_code,sog
count,88996473,49396947,88996473,88996473,87373748,88996473
mean,3.955718669211217E8,1.4585492765759228E7,5.467277877405321,62.17126810182691,395.20466595984874,3.583376951354266
stddev,1.3375406280296084E8,6.717529637159856E7,6.600339419169131,20.758994507665196,133.48844783150264,5.368822906834224
min,0,1,0,0,201,0.0
max,1073722367,1073741823,16,255,775,102.1
