bulan,unique_mmsi_count,unique_imo_count
January,253983,70475
February,236903,68606
March,268823,69970
April,289684,70502
May,291265,71172
June,295255,71212
July,310532,71362
August,314024,71549
September,305440,71452
October,289747,71333
November,281458,70912
December,257853,70224
